Merchant Name,Category Name,% Rate,Flat Rate
Diet-to-Go,Box Subscriptions,0.0,50.0
Dieux Skin,Health & Beauty,5.0,0.0
Different Puzzles,Puzzles,3.0,0.0
Difmark,Video Games,3.2,0.0
Digestinol Research,Vitamins & Supplements,10.0,0.0
Digiarty,Software,30.0,0.0
Digibate,Advertising & Marketing,20.0,0.0
Digital RSVP,Weddings,10.0,0.0
Dinkly Pickleball,Outdoor Recreation,20.0,0.0
Dip Devices,CBD,15.0,0.0
Dip'N Dive US,Boating & Water Sports,5.0,0.0
Diptyque,Fragrance & Cologne,6.4,0.0
Direct Ferries,Travel,4.0,0.0
Dirty Candy Sportswear,Clothing & Apparel,20.0,0.0
Discipline Industries,Exercise & Fitness,10.0,4.0
Discount Computer Depot,Computers & Accessories,6.0,0.0
Discount Contacts,Contacts & Glasses,3.0,0.0
Discount Dance,Clothing & Apparel,4.0,0.0
Discount Electronics,Consumer Electronics,8.0,0.0
Discount Lots,Consumer Services,0.0,420.0
DiscountMags.com,Books & Magazines,14.0,0.0
Discover Cars,Travel,54.0,0.0
Dish Network,Satellite TV & Radio,0.0,140.0
Disney+,Media,18.0,0.0
Display Market,Signage,10.0,0.0
Distacart,Department Stores,15.0,0.0
Distil Union,Accessories,6.0,0.0
DistroKid,Music,25.0,0.0
Dive Addicts,Boating & Water Sports,5.0,0.0
Divi Official,Health & Beauty,10.0,0.0
Divinch,Clothing & Apparel,10.0,0.0
Divine Saunas,Health & Wellness,1.0,0.0
Doba,B2B,25.0,0.0
Dock & Bay,Outdoor Living,2.0,0.0
Doctor Derm (US),Health Care,0.0,10.0
Doctor's Choice,Health Care,15.0,0.0
Documo,Consumer Services,15.0,0.0
Dodow,Health Care,20.0,27.0
Dog Cloud,Animals & Pet Supplies,10.0,0.0
Dog is Good,Animals & Pet Supplies,10.0,0.0
Dogline Inc,Dog Supplies,10.0,0.0
Dolce & Gabbana,Clothing & Apparel,11.2,0.0
Dollar Flight Club,Air,48.0,2.4
Dollar Rent-A-Car,Car Rental,1.6,0.0
Dollar Tree,Department Stores,0.8,0.0
DollarDays,Department Stores,6.0,0.0
Dome Beauty,Beauty & Cosmetics,12.0,0.0
Domestika,Online Courses,40.0,2.0
Dometic,Outdoor Recreation,5.0,0.0
Dominique Cosmetics,Beauty & Cosmetics,8.0,0.0
Donut-Supplies,Baking Supplies,5.0,0.0
DoorLoop,Financial,0.0,500.0
Doorricade,Home Security Systems,10.0,0.0
Dore & Rose,Bed & Bath,6.0,0.0
Dormify,Household,8.0,0.0
Dorne,Accessories,10.0,0.0
Dorothee Schumacher,Clothing & Apparel,6.0,0.0
Dorsanee,Beauty & Cosmetics,8.0,0.0
Doré,Health & Beauty,6.0,0.0
Double Stitch by Bedsure,Bed & Bath,10.0,0.0
Double Wood Supplements,Vitamins & Supplements,0.8,0.0
Doughnut,Backpacks,10.0,0.0
Doughp,Desserts,5.0,0.0
Dovly,Consumer Services,0.0,24.0
Dovoh,Hardware,15.0,0.0
Dower and Hall,Jewelry,10.0,0.0
Doze,Bed & Bath,5.0,0.0
Dr Dabber Inc,e-Cigarettes & Vaporizers,15.0,0.0
Dr Ho's,Health & Beauty,12.0,0.0
Dr Jackson's,Beauty & Cosmetics,5.0,0.0
Dr hempster,CBD,20.0,0.0
Dr. Colbert,Vitamins & Supplements,20.0,0.0
Dr. Kellyann,Diet & Fitness,30.0,0.0
Dr. Motion Retail,Clothing & Apparel,10.0,0.0
Dr. Nigma,Health & Beauty,10.0,0.0
Dr. Talbot's,Health & Beauty,4.0,0.0
Dr. Tom Cowan,Consumer Services,25.0,0.0
DrHouse,Health Care,0.0,80.0
DrNatura,Vitamins & Nutrition,10.0,0.0
Drag Society,Box Subscriptions,3.0,0.0
Dragon Door,Sporting Goods,10.0,0.0
Draper James,Women,12.0,0.0
Draya,Clothing & Apparel,15.0,0.0
Dream Arcades US,Video Games,5.0,20.0
Dream Sofa,Household,2.0,0.0
Dream Tea NYC,Beverages,15.0,0.0
Dreamfarm,Kitchen & Dining,10.0,0.0
Dress A Med,Work Uniforms,5.0,0.0
Dressin,Clothing & Apparel,25.0,0.0
Drestige,Clothing & Apparel,16.0,0.0
DrinkAvaline.com,Wine,10.0,0.0
Drip Gear Zone,Clothing & Apparel,10.0,0.0
Drive-In Autosound,Vehicles & Parts,4.0,0.0
Drivers Ed,Online Courses,10.0,0.0
Drone Nerds,Drones,1.0,0.0
Drop,Computer Accessories,5.38,0.0
Drop Connect,Building Supplies,10.0,0.0
DropEvent,Software,0.0,10.0
DropshippingXL,Consumer Services,0.0,30.0
DrunkDeer,Computer Accessories,12.0,0.0
Dryft Sleep,Health & Beauty,20.0,0.0
Dublin Pass,Travel,3.0,0.0
Duca del Cosma,Golf,9.0,0.0
DudeRobe,Underwear & Socks,10.0,0.0
Duexa Inc,,15.0,0.0
Duffield Lane,Clothing & Apparel,7.0,0.0
Duke + Dexter,Shoes,12.0,0.0
Duke Cannon Supply Co.,Health & Beauty,8.0,0.0
Duluth Trading Company,Clothing & Apparel,4.0,0.0
Dun & Bradstreet,Financial,16.0,5.0
Duncan Toys Company,Toys,4.0,0.0
Dune Jewelry,Jewelry,10.0,0.0
Dunked (US),Consumer Services,25.0,0.0
Dunlop Sports,Sporting Goods,10.0,0.0
Duo Cover,Kitchen & Dining,0.0,20.0
Dupray,Household,10.0,0.0
Durasage Health,Health & Beauty,5.0,0.0
Dusit International,Hotel,3.2,0.0
Dutch Pet,Animals & Pet Supplies,5.0,0.0
Dwarves,Shoes,8.0,0.0
Dynadot.com,Web Hosting & Domains,25.0,10.0
Dynamite Clothing,Clothing & Apparel,5.0,0.0
Dynojet,Vehicles & Parts,6.0,0.0
Dzinly,Household,5.0,0.0
E-Consumer Pulse,Consumer Services,3.0,0.0
E-file.com,Financial,40.0,1.4
E1011 Labs,CBD,10.0,0.0
EASYFEET,Health & Beauty,20.0,0.0
EAZYDTF,Clothing & Apparel,5.0,0.0
EBLOfficial,Batteries,10.0,0.0
ECBlend,e-Cigarettes & Vaporizers,20.0,0.0
ECOSUSI,Clothing & Apparel,10.0,0.0
ECOVACS,Supplies,10.0,0.0
EF Adventures,Travel,0.0,75.0
EF Ultimate Break,Travel,0.0,75.0
EGO POEWR LLC,Batteries,15.0,0.0
EKR auto,"Vehicle Maintenance, Care & Decor",10.0,0.0
EKSA,Audio,15.0,0.0
ELEHEAR,Audio,5.0,0.0
ELIMS,Personal Care,10.0,0.0
ELLIPAL,Financial,15.0,0.0
EM Cosmetics,Beauty & Cosmetics,8.0,0.0
EMJAY,Cannabis,20.0,0.0
EMP Shield,Consumer Electronics,15.0,0.0
EMPE USA,CBD,35.0,0.0
EMPHASIS,Clothing & Apparel,12.0,0.0
EMU,Shoes,15.0,0.0
ENCOMMUN Official,Women,12.0,0.0
ENGLAND RUGBY STORE,Clothing & Apparel,2.0,0.0
ENNUE,Clothing & Apparel,10.0,0.0
ENO,Outdoor Recreation,4.0,0.0
ENSO,Food & Drink,10.0,0.0
EO Products,Health & Beauty,10.0,0.0
EOS Evolution of Smooth,Beauty & Cosmetics,5.0,0.0
EPNYgolf.com,Clothing & Apparel,15.0,0.0
ERLY,Personal Care,15.0,0.0
EROMMY,Household,8.0,0.0
ESA Certificate,Consumer Services,20.0,0.0
ESET,Software,25.0,4.0
ESPIRITU,Clothing & Apparel,15.0,0.0
EVDANCE,Motor Vehicle Electronics,10.0,0.0
EVELYN & KATE,Luggage & Bags,10.0,0.0
EVENSKYN AFFILIATE PROGRAM,Beauty & Spas,5.0,0.0
EVOLV Electric Scooters,Consumer Electronics,6.0,0.0
EZ Outlet,Electronics Accessories,10.0,0.0
EZ Texting,Advertising & Marketing,0.0,100.0
EZRI,Luggage & Bags,5.0,0.0
Eagle,Software,30.0,0.0
Eagle Creek,Luggage & Bags,8.0,0.0
EarPeace Ear Plugs,Health & Beauty,15.0,0.0
Early Rider,Cycling,6.0,0.0
Earlybird CBD,CBD,7.5,0.0
Earth Breeze,Clothing & Apparel,0.0,10.0
Earth Elements Organics,Personal Care,20.0,0.0
Earth Shoes,Shoes,6.0,0.0
EarthHero,Household,7.0,0.0
Earthing,Health & Beauty,10.0,0.0
Earthly Co.,Supplies,15.0,0.0
Easify,Advertising & Marketing,20.0,0.0
East x East,Clothing & Apparel,16.0,0.0
EastWest Sounds,Music,10.0,0.0
Easton,Sporting Goods,3.0,0.0
Eastside Golf,Golf,8.0,0.0
Easy Canvas Prints,Photo Gifts,3.0,0.0
Easy Mob Holdings LTD,Computers & Accessories,0.0,10.0
Easy Name Change LLC,Consumer Services,22.0,0.0
Easy Spirit,Shoes,6.0,0.0
Easy Standard Apparel,Clothing & Apparel,8.0,0.0
Easyspace,Web Hosting & Domains,30.0,0.0
Eat to Think,Food & Gourmet,10.0,0.0
EatWith,Food & Drink,8.0,0.0
Eating Europe,Tours,8.0,0.0
Echo,Accessories,5.0,0.0
Ecig Vapers,e-Cigarettes & Vaporizers,10.0,0.0
EcigMafia,e-Cigarettes & Vaporizers,10.0,0.0
Eckhaus Latta,Clothing & Apparel,10.0,0.0
Ecko Unltd,Clothing & Apparel,4.0,0.0
Eco Earth Brands,Consumer Services,15.0,0.0
Eco Face Platinum,Health & Beauty,5.0,0.0
Eco Pea Co.,Babies & Kids,0.0,10.0
Eco Terra Beds,Bed & Bath,10.0,0.0
Eco-Worthy,Green Living (Eco-Friendly),10.0,0.0
EcoReco Scooter,Vehicles & Parts,5.0,0.0
EcoSox,Underwear & Socks,10.0,0.0
Ecoer,Clothing & Apparel,21.0,0.0
Ecosa,Bed & Bath,2.0,0.0
Eddie by Giddy,Health & Beauty,5.0,50.0
Eden's Herbals,CBD,20.0,0.0
Edgewell,Personal Care,10.0,0.0
Edifier,Audio,10.0,0.0
Edloe Finch,Household,2.0,0.0
Edobles,CBD,40.0,0.0
Edrawsoft,Personal Care,23.98,0.0
Educate Simplify (US),Online Courses,20.0,0.0
Educative,Online Courses,20.0,0.0
Edureka,Online Courses,21.0,0.0
Edward Ventures,Health & Beauty,5.0,0.0
Eezy Sun,Health & Beauty,20.0,0.0
Effy Jewelry,Clothing & Apparel,3.0,0.0
Egg Whites International,Vitamins & Supplements,12.0,0.0
Egyptian Linens,Bed & Bath,10.0,0.0
Eightpoint,Advertising & Marketing,45.0,0.0
Eighty Six Group,e-Cigarettes & Vaporizers,25.0,0.0
Eimmie,"Dolls, Playsets & Toy Figures",7.0,0.0
Einova,Consumer Electronics,8.0,0.0
Eiyan Contact Lenses (US),Contacts & Glasses,30.0,0.0
Ejools,Jewelry,15.0,0.0
Eklexic,Jewelry,10.0,0.0
Eko,Health Care,3.0,0.0
Ekouaer,Clothing & Apparel,15.0,0.0
El Guapo,Food & Gourmet,10.0,0.0
Ela Lane,Household,10.0,0.0
Elaina Badro,Beauty & Cosmetics,25.0,0.0
Elave Skincare,Health & Beauty,5.0,0.0
EleanosGallery,Furniture,5.0,0.0
Elecrow,Consumer Electronics,5.0,0.0
Electronic Whiteboards Warehouse,Office,5.0,0.0
Electronicx,Vehicles & Parts,10.0,0.0
Elecwish,Household,15.0,0.0
Elegant Men's Attire,Men,16.0,0.0
Elemental Herbs Inc DBA All Good,Health & Beauty,10.0,0.0
Elements truffles,Desserts,15.0,0.0
Elevation Lab,Electronics Accessories,10.0,0.0
Eleven Oasis,Clothing & Apparel,25.0,0.0
Elfsight,Web Hosting & Domains,30.0,0.0
Eli & Elm,Bed & Bath,30.0,0.0
Elie Tahari,Women,8.0,0.0
Elife Transfer,Travel,8.0,0.0
Elihome,Kitchen & Dining,10.0,0.0
Elite Jewels Inc.,Jewelry,12.0,0.0
Elite Sports,Sporting Goods,10.0,0.0
Elite Survival Systems,Weapons,20.0,0.0
EliteMate.com,Dating,0.0,7.0
Elixinol,CBD,10.0,0.0
Elizabeth Cole Jewelry,Clothing & Apparel,7.5,0.0
Ella Stein,Jewelry,10.0,0.0
EllaOla,Babies & Kids,10.0,0.0
ElleVet Sciences,Animals & Pet Supplies,5.0,0.0
Ellen Lange Skin Science,Health & Beauty,12.0,0.0
Ellia,Fragrance & Cologne,8.0,0.0
Ellie Hello,Home Security Systems,10.0,0.0
Ellie Vail,Jewelry,5.0,0.0
Ellus,Accessories,7.0,0.0
Elsa Babe,Erotic,10.0,0.0
Else,Clothing & Apparel,5.0,0.0
Else Nutrition,Baby Health,30.0,0.0
EltaMD,Health & Beauty,3.0,0.0
Elton Pepple,Watches,15.0,0.0
Elviros,Bed & Bath,20.0,0.0
Elwood Clothing,Clothing & Apparel,5.0,0.0
Elysium,Jewelry,10.0,0.0
Elyxr,CBD,5.0,0.0
Embellish Beauty,Health & Beauty,15.0,0.0
Emblazon Edge,Gifts,6.0,0.0
Emensuits,Men,10.0,0.0
Emergency Assistance Plus,Travel,0.0,35.0
Emergent,Software,0.0,60.0
Emi Jay,Accessories,5.0,0.0
Emma Relief,Diet & Fitness,5.0,0.0
Emojibator,Erotic,10.0,0.0
EmpowerDX,Health Care,7.0,0.0
EnChroma,Contacts & Glasses,8.0,0.0
Enable Accessible Haircare Products,Personal Care,10.0,0.0
Enchant Brands,Food & Gourmet,20.0,0.0
EndNote,Software,20.0,0.0
Endoca,CBD,30.0,0.0
Endura,Cycling,5.0,0.0
Endurance Warranty,Auto (or Vehicle),0.0,15.0
EnergySage,Household,0.0,6.0
Engage Pickleball,Sporting Goods,10.0,0.0
Engaged Media Inc.,Books & Magazines,15.0,0.0
England FA Shop,Sporting Goods,4.0,0.0
English4Today,Education,20.0,0.0
Enjox Toys,Erotic,25.0,0.0
Enjoy the Wood,Household,20.0,0.0
Enterprise Rent a Car,Car Rental,2.0,13.6
Entertainment.com,Local Deals,20.0,21.0
Entire Home Interior,Furniture,20.0,0.0
EntirelyPets,Animals & Pet Supplies,6.0,0.0
EntirelyPets Pharmacy,Animals & Pet Supplies,3.0,0.0
"Entosense, LLC",Food & Beverage,10.0,0.0
Envato Placeit,Advertising & Marketing,50.0,50.0
Envelopes.com,Office,4.0,0.0
Enviromedica,Vitamins & Supplements,10.0,0.0
EpazoToi,Lighting,60.0,0.0
EpicLight Beauty,Beauty & Cosmetics,20.0,0.0
Epicka,Electronics Accessories,20.0,0.0
Epicure,Food & Beverage,13.6,0.0
Epicurean,Kitchen & Dining,12.0,0.0
Epicured,Food & Beverage,8.0,0.0
Epicuren Discovery,Health & Beauty,15.0,0.0
Epidemic Sound,Music,0.0,30.0
Epoch Batteries,Batteries,4.0,0.0
Equipment,Women,8.0,0.0
EquipmentShare Parts,Construction,5.0,0.0
EquitySet,Software,0.0,10.0
Era Organics,Health & Beauty,10.0,0.0
Ergo-Pedic,Bed & Bath,10.0,0.0
Erin Fader Jewelry Design,Jewelry,15.0,0.0
Ernesta Rugs,Rugs & Flooring,4.0,0.0
Erno Laszlo,Health & Beauty,10.0,0.0
Ero Venus,Erotic,5.0,0.0
Ervet,Bed & Bath,5.0,0.0
EsaRegistration.org,Animals & Pet Supplies,10.0,0.0
Escape Motions,Software,7.0,0.0
Escape the Room,Arts & Entertainment,12.0,0.0
Esme,Underwear & Socks,15.0,0.0
Espro,Kitchen & Dining,6.0,0.0
Esska Shoes,Shoes,3.0,0.0
Estella Bartlett,Jewelry,8.0,0.0
Etekcity,Household,5.0,0.0
Eternity Medicine Rx,Beauty & Cosmetics,40.0,0.0
Eternity Modern,Household,5.0,0.0
Ethel M Chocolates,Food & Gourmet,5.0,0.0
Ethika,Clothing & Apparel,6.0,0.0
Ethiopian Airlines,Air,1.3,0.0
Etihad Airways,Air,7.0,0.0
EtravelSIM,Telephony,11.0,0.0
Etro,Clothing & Apparel,8.0,0.0
Etsy,Department Stores,4.0,0.0
Ettika,Jewelry,6.0,0.0
Eu Natural,Vitamins & Supplements,4.0,0.0
Eugenia Kim,Clothing & Apparel,12.0,0.0
Eureka Ergonomic,Furniture,4.0,0.0
Europcar,Car Rental,7.0,0.104
Eurowings Holidays,Handbags & Wallets,6.0,0.0
Evelyn Bobbie,Underwear & Socks,6.0,0.0
Evenflo Baby,Babies & Kids,3.0,0.0
Eventbrite,Event Tickets,0.0,8.0
Eventgroove,B2B,3.0,0.0
Eventide Inc.,Audio,10.0,0.0
Events365,Event Tickets,3.0,0.0
Evereden,Health & Beauty,8.0,0.0
Everest,Outdoor Recreation,7.5,0.0
Evereve,Clothing & Apparel,5.0,0.0
Everhem,Household,3.0,0.0
Everist Inc.,Health & Beauty,6.0,0.0
Everlayer,Bed & Bath,4.0,0.0
Everleagues Inc.,Electronics Accessories,10.0,5.0
Evermill,Food & Beverage,2.0,0.0
Evermine,B2B,10.0,0.0
Evermore Pet Food,Animals & Pet Supplies,15.0,0.0
Everneat,Supplies,10.0,0.0
Everspark Innovations Inc.,Kitchen & Dining,8.0,0.0
Everton Online Store,Clothing & Apparel,4.0,0.0
EveryDrop,Household,7.0,0.0
EveryMarket,Department Stores,2.0,0.0
Everyday Dose,Food & Beverage,4.0,0.0
Everyday Life Insurance,Insurance,0.0,250.0
Evewear,Clothing & Apparel,7.0,0.0
Evia Greek Honey,Organic,5.0,0.0
Evolution Outdoor,Outdoor Recreation,10.0,0.0
Evolution Salt,Fishing,5.0,0.0
Evolve Skateboards,Outdoor Recreation,7.0,0.0
Excalibur Dehydrator,Appliances,8.0,0.0
Excavating Adventures,Gifts,10.0,0.0
Exotic India,Home Decor,5.0,0.0
Exoticca,Vacation Packages,8.0,0.0
Experian US,Credit Cards,0.0,0.28
ExperienceFirst,Travel,12.5,0.0
ExpertFlyer.com,Air,50.0,0.0
ExpertRating,Education,30.0,0.0
Exponent Beauty,Personal Care,10.0,0.0
Express,Clothing & Apparel,0.8,1.0
Express VPN,Computers & Accessories,90.0,0.0
Express Water,Household,8.0,0.0
ExpressTrainers.com,Shoes,2.0,0.0
Expressions,Clothing & Apparel,0.0,0.144
Extended Stay America,Travel,2.0,0.0
Extra Holidays,Travel,10.0,0.0
Extra Value Checks,Financial,3.0,0.0
Extranomical Tours,Tours,5.0,0.0
Extreme Outfitters,Men,1.6,0.0
Eye of Love,Fragrance & Cologne,5.0,0.0
Eyedictive,Sunglasses,8.0,0.0
Eyeglasses.com,Contacts & Glasses,9.0,0.0
Eyeleos,Clothing & Apparel,20.0,0.0
EzContacts,Contacts & Glasses,3.0,0.0
EzyDog,Dog Supplies,9.0,0.0
F-Secure | Internet Security & VPN,Software,32.5,0.0
F.N. Sharp,Kitchen & Dining,10.0,0.0
F1 Store,Athletics,2.0,0.0
FABAwings,Beauty & Cosmetics,5.0,0.0
FED Fitness,Sporting Goods,3.0,0.0
FEEL LIKE BEAUTY,Beauty & Cosmetics,8.0,0.0
FEIER fitness,Exercise & Fitness,10.0,0.0
FEW MODA,Clothing & Apparel,3.0,0.0
FFL123.com,Weapons,50.0,0.0
FIJI Water,Food & Beverage,18.0,0.0
"FINN + EMMA, LLC",Baby & Kids,10.0,0.0
FLIPMITS,Weight Lifting,10.0,0.0
FLOWERBX,Flowers,1.0,0.0
FLYCITY,Furniture,10.0,0.0
FOCO,Clothing & Apparel,4.0,0.0
FOPOMonitor (US),Computers & Accessories,10.0,0.0
FORBES & LEWIS,Accessories,10.0,0.0
FRE,e-Cigarettes & Vaporizers,10.0,0.0
FREESOO,Vehicles & Parts,10.0,0.0
FRS Clipper,Travel,5.0,0.0
FTD,Flowers,8.0,0.0
FUMECLEAR,Consumer Electronics,5.0,0.0
FURI SPORT,Sporting Goods,15.0,0.0
FXW Dog Playpens,Animals & Pet Supplies,16.0,0.0
FYE.com,Collectibles,3.0,0.0
Fab Soft,Software,20.0,0.0
Fable,Household,4.0,0.0
Fable England,Handbags & Wallets,5.0,0.0
Fabric Insurance,Insurance,0.0,100.0
Fabula Coffee,Beverages,25.0,0.0
Face Socks,Underwear & Socks,5.0,0.0
Face the Future,Beauty & Cosmetics,1.0,0.0
FaderPro,Music,10.0,0.0
Faherty,Clothing & Apparel,2.0,0.0
Fahlo,Jewelry,4.0,0.0
Fahrenheit New York,Clothing & Apparel,12.0,0.0
Fair RC,Remote Control Toys,5.0,0.0
FairFigure,Financial,6.0,15.0
Faire,Department Stores,0.0,5.0
"Fairway Golf, Inc.",Golf,15.0,0.0
Fairway and Greene,Clothing & Apparel,3.0,0.0
Faith Gear,Clothing & Apparel,12.0,0.0
Faithbox,Gifts,10.0,20.0
Falco,Weapons,5.0,0.0
Falconeri,Clothing & Apparel,12.0,0.0
Falke,Clothing & Apparel,10.0,0.0
Family Research Council,Media,10.0,0.0
Fan Frenzy Gifts,Gifts,8.0,0.0
Fan Ink,Hats,10.0,0.0
Fancl,Health & Beauty,12.5,0.0
Fanny LLC,Bed & Bath,10.0,0.0
Fanrek,Costumes,15.0,0.0
FansEdge,Sporting Goods,8.0,0.0
FantaStreet,Local Deals,15.0,0.0
Fantasy Guru,Video Game Consoles & Games,10.0,0.0
Fanttik,Motor Vehicle Parts,15.0,0.0
Far & Wild,Fragrance & Cologne,10.0,0.0
Farlows,Sporting Goods,5.0,0.0
Farm & Forest Organic Coffee Roasters,Beverages,5.0,0.0
FarmHaven,Vitamins & Supplements,20.0,0.0
Farrar and Tanner,Gifts,0.8,0.0
Fashion Fabrics Club,Arts & Crafts,12.0,0.0
Fast Bar,Snacks,15.0,0.0
Fast Easy Accounting Store,Financial,25.0,0.0
FastExpert,Real Estate,0.0,12.0
FastWill,Financial,20.0,0.0
FastinSupplement.com,Vitamins & Supplements,5.0,0.0
Faszin limited,Consumer Services,10.0,0.0
Fat Brain Toys,Educational Toys,6.0,0.0
Faultline395,Clothing & Apparel,10.0,0.0
Favorite Daughter,Accessories,3.2,0.0
Fax It Fast,"Print, Copy, Scan & Fax",1.68,12.0
Fayettechill,Clothing & Apparel,8.0,0.0
Featherstone,Camping & Hiking,12.0,0.0
Feature,Clothing & Apparel,4.0,0.0
FedEx Office,Office,3.0,0.0
Feed Me More,Vitamins & Supplements,10.0,0.0
Feel Confident,Health & Beauty,10.0,0.0
Feel Good Contacts,Contacts & Glasses,5.0,0.0
Feel Good Store,Erotic,20.0,0.0
Fehaute,Clothing & Apparel,14.0,0.0
FeiyuTech,Consumer Electronics,10.0,0.0
Felix Gray,Contacts & Glasses,8.0,0.0
Felt Paper Scissors,Hobbies & Creative Arts,5.0,0.0
FemiClear,Personal Care,10.0,0.0
"Femininity, LLC",Health & Beauty,10.0,0.0
FemmePharma,Health Care,10.0,0.0
Fender,Musical Instruments & Accessories,8.0,0.0
Fenwick Fishing,Outdoor Recreation,10.0,0.0
Fergus hotels,Hotel,7.0,0.0
Ferguson Home,Building Supplies,2.0,25.0
Fernweh Editions,Home Decor,20.0,0.0
Ferris Wheel Press,Supplies,5.0,0.0
Ferry-Morse Home Gardening,Lawn & Garden,6.0,0.0
Fetch Happy Store,Dog Supplies,7.0,0.0
Fever,Event Tickets,8.0,0.0
Fidelity Denim,Clothing & Apparel,6.0,0.0
Fieldsheer,Outdoor Recreation,10.0,0.0
Fifthroom.com,Lawn & Garden,10.0,0.0
Fig For Kids,Baby & Kids,10.0,0.0
Fig Linens,Household,8.5,0.0
Figgy,Kids,5.0,0.0
Fiido,Cycling,4.0,0.0
Fiit,Exercise & Fitness,0.0,5.0
File Viewer Plus,Software,30.0,0.0
FileYourTaxes,Tax Services,0.0,15.0
Filenow,B2B,0.0,60.0
Filson,Clothing & Apparel,6.4,0.0
Filters Delivered,Supplies,10.0,0.0
FiltersFast.com,Household,1.0,0.0
Fin Feather Fur Outfitters,Weapons,6.0,0.0
Finaciti,Financial,30.0,0.0
Financiato,Online Courses,5.0,0.0
Fincent.com,Tax Services,0.0,500.0
Find Parking,Travel,10.0,0.0
FindARotation,Consumer Services,0.0,100.0
Findercube,Clothing & Apparel,15.0,0.0
Finding Ferdinand,Health & Beauty,15.0,0.0
FinditParts,Motor Vehicle Parts,7.0,0.0
FineTuxedos,Men,8.0,0.0
Finex,Kitchen & Dining,5.0,0.0
Finimize,Financial,50.0,0.0
Fire Maple,Outdoor Recreation,15.0,0.0
FireAvert,Home Security Systems,10.0,0.0
FireHiking,Camping & Hiking,1.0,0.0
FireRoad,Food & Beverage,10.0,0.0
Fireflies.ai,Software,5.0,0.0
Firelady,Women,15.0,0.0
Fireside Outdoor,Camping & Hiking,10.0,0.0
First Day,Vitamins & Supplements,15.0,0.0
First Honey,Health Care,15.0,0.0
First Light Farms,Meats & Seafood,8.0,0.0
Firstbase,Legal,40.0,180.0
Firsthand Supply,Beauty & Cosmetics,6.0,0.0
Fish Hippie Co.,Clothing & Apparel,7.0,0.0
FishUSA,Fishing,4.0,0.0
Fisherman's Factory Outlet,Outdoor Recreation,10.0,0.0
Fishermans Marine,Boating & Water Sports,10.0,0.0
Fishwest,Fishing,8.0,0.0
Fissler,Household,5.0,0.0
Fit King,Health & Beauty,7.0,0.0
Fit2Run,Athletics,3.2,0.0
Fitness Assistant,Software,40.0,0.0
Fitness Mentors,Exercise & Fitness,20.0,0.0
Fitties,Exercise & Fitness,10.0,0.0
Five Iron Golf,Golf,15.0,0.0
Fix It Sticks,Tools,7.0,0.0
Fjallraven Shop,Clothing & Apparel,5.6,0.0
Flag & Anthem,Clothing & Apparel,5.0,0.0
Flagshirt,Clothing & Apparel,1.0,0.0
Flair Espresso,Beverages,5.0,0.0
Flamingo,Health & Beauty,12.0,0.0
Flash.co,Consumer Services,0.0,6.0
Flat Tummy Co,Diet & Fitness,6.0,0.0
Flaus,Personal Care,5.0,0.0
FlavCity,Beverages,6.0,0.0
Fleet Feet Sports,Clothing & Apparel,0.8,0.0
Fleshlight,Erotic,100.0,0.0
Fleshy,Sex Toys,20.0,0.0
Fleur du Mal,Underwear & Socks,2.0,0.0
Fleuri Beauty,Beauty & Cosmetics,10.0,0.0
Flewd Stresscare,Health & Beauty,5.0,0.0
FlexShopper,Household,0.0,25.0
FlexiNail,Health & Beauty,15.0,0.0
Flexibits,Software,25.0,2.0
FliKEZE,Consumer Services,10.0,0.0
FlightHub,Travel,10.0,0.0
FlightTickethub,Air,0.0,9.0
Flip My Life,Vitamins & Nutrition,15.0,0.0
FloSports,Media,6.0,0.0
Floatie Kings,Pool & Spa,25.0,0.0
Floleaf Naturals LLC,Consumer Services,10.0,0.0
Flood Buzz Water Leak Alarms,Appliances,5.0,0.0
Floom,Flowers,10.0,0.0
Flora Animalia,Clothing & Apparel,12.0,0.0
Floral Street,Fragrance & Cologne,6.0,0.0
Floraqueen,Flowers,10.0,0.0
Florasis,Beauty & Cosmetics,0.8,0.0
Florence Marine X,Boating & Water Sports,2.0,0.0
Florence by mills,Health & Beauty,5.0,0.0
Florists.com,Flowers,3.0,0.0
Flowcode,Software,13.0,0.0
Flower of Life CBD,Health & Beauty,10.0,0.0
Flower.com,Gifts,20.0,0.0
FlowerShopping.com,Flowers,2.0,0.0
Fluffy Crate,Clothing & Apparel,15.0,0.0
FluidStance,Sporting Goods,8.0,0.0
Flux Footwear,Shoes,0.5,0.0
FlyFishFinder,Outdoor Recreation,10.0,0.0
Flycatcher,Toys & Games,5.0,0.0
Flyers Cocktail Co,Food & Beverage,15.0,0.0
Flying Buck CBD,CBD,25.0,0.0
Flying Papers,CBD,10.0,0.0
Flylab,Fishing,15.0,0.0
Flynas,Air,0.7,0.0
Flytographer,Consumer Services,4.0,0.0
Foam Sweet Foam,Bed & Bath,15.0,0.0
Focuser Carving,Arts & Entertainment,20.0,0.0
Fofana,Camping & Hiking,10.0,0.0
Fogatti,Vehicles & Parts,5.0,0.0
Fold3 by Ancestry,Hobbies & Creative Arts,30.0,0.0
Folders.com,Office,4.0,0.0
Foligain,Beauty & Cosmetics,12.0,0.0
Fontana Forni USA,Appliances,6.0,0.0
Fontspring,B2B,5.0,0.0
Food Service Direct,Food & Beverage,3.0,0.0
FoodSaver,Kitchen & Dining,6.0,0.0
