Merchant Name,Category Name,% Rate,Flat Rate
ATLANTA POST CAPS,Household,5.0,0.0
"ATN Corp (American Technology Network, Corp.)",Hunting & Shooting,5.0,0.0
ATP Atelier,Clothing & Apparel,4.0,0.0
ATaPa,Health & Wellness,28.0,0.0
AU Baby,Baby & Kids,10.0,0.0
AUROLA,Clothing & Apparel,10.0,0.0
AV Access,Computers & Accessories,15.0,0.0
AV Laboratories,Health & Beauty,25.0,0.0
AVCLabs,Software,24.0,0.0
AVG,Software,30.0,0.0
AVYA Skincare,Health & Beauty,20.0,0.0
AXA Travel Insurance,Insurance,20.0,45.0
Abaco Polarized,Sunglasses,20.0,0.0
Abacus Sportswear,Clothing & Apparel,8.0,0.0
Abbey Glass,Clothing & Apparel,10.0,0.0
Abbode,Clothing & Apparel,15.0,0.0
AbeBooks,Books & Magazines,4.2,0.0
Abelssoft,Software,70.0,0.0
Abestorm,Appliances,10.0,0.0
Able Clothing,Clothing & Apparel,4.0,0.0
Abode Home Ltd,Kitchen & Dining,20.0,0.0
Abott Lyon,Jewelry,3.0,0.0
About Vintage,Watches,2.0,0.0
Abt Electronics,Consumer Electronics,6.0,0.0
Academy Sports + Outdoor,Sporting Goods,3.0,0.0
Acaderma,Health & Beauty,15.0,0.0
Accessory Concierge,Accessories,20.0,0.0
Accompany Fashion,Clothing & Apparel,11.2,0.0
Accomplishr (US,Consumer Services,5.0,8.0
AccorPlus,Travel,8.0,0.0
Accorhotels.com,Hotel,4.0,0.0
AccuQuilt,Arts & Crafts,1.0,0.0
AccuWebHosting.Com,Web Hosting & Domains,70.0,0.0
Ace + Ike,Baby & Kids,12.0,0.0
Ace Link Armor,Hunting & Shooting,5.0,0.0
Aced It Co,Household,7.0,0.0
Acer,Computers & Accessories,5.0,36.0
Achairgo,Health Care,10.0,0.0
AcmeJoy,Sex Toys,15.0,0.0
Acronis,Software,15.0,0.0
ActivForce,Consumer Services,10.0,0.0
Activated You,Vitamins & Supplements,12.0,0.0
Active Skin Repair,Health Care,0.0,14.0
ActiveGear,Exercise & Fitness,10.0,0.0
ActiveWills,Legal,0.0,2.4
Activist Skincare,Personal Care,10.0,0.0
AcuRite,Consumer Electronics,7.0,0.0
AdGuard,Internet Services,50.0,0.0
Adagio Teas,Beverages,5.0,0.0
Addison Ross,Household,10.0,0.0
Addlonlighting,Lighting,5.0,0.0
Address Hotels + Resorts,Hotel,2.0,0.0
Adelante Shoe Co,Shoes,10.0,0.0
Adina Reyter,Jewelry,3.0,0.0
Adjuster University,Online Courses,10.0,0.0
Adnia Solutions,Internet Services,10.0,0.0
Adoorn,Food & Gourmet,15.0,0.0
Adorama,Consumer Electronics,2.4,0.0
Adorama Rental Company,Camera & Optics,5.0,0.0
Adore Me,Underwear & Socks,10.0,0.0
Adornmonde,Jewelry,10.0,0.0
Adrenaline,Travel,5.0,0.0
AdultClothDiaper.Com,Health & Beauty,10.0,0.0
Advance Auto Parts,Vehicles & Parts,0.8,0.0
Advanced Clinicals,Health & Beauty,15.0,0.0
Advanced Food Intolerance Labs,Consumer Services,5.0,0.0
Advanced System Repair with AdvancedVPN,Software,30.0,0.0
Adventure 48,Luggage & Bags,25.0,0.0
Adventure Medical Kits,Health Care,8.0,0.0
Adventure Well,Outdoor Recreation,7.0,0.0
Aer Lingus,Air,1.6,0.0
Aeroflow Healthcare,Nursing & Feeding,10.0,4.0
Aerosoles,Shoes,6.0,0.0
Aesido,Men,10.0,0.0
Aetrex,Shoes,6.0,0.0
Aeva,Vitamins & Supplements,15.0,0.0
Affinity Cellular,Telephony,0.0,40.0
Affordable World,Travel,0.0,75.0
Afina,Household,12.0,0.0
Afloral,Household,4.0,0.0
AfroMerch,Clothing & Apparel,20.0,0.0
Agave Black,Health & Beauty,20.0,0.0
Agency,Health & Beauty,0.0,17.0
Agent Provocateur,Erotic,10.0,0.0
Agriframes,Yard & Garden,10.0,0.0
Ahacarbon,Vehicles & Parts,5.0,0.0
Ahimsa®,Household,8.0,0.0
Ail Miles Clothing,Clothing & Apparel,10.0,0.0
Ainfox,Household,3.0,0.0
Air Canada Aeroplan - Points.com,Travel,2.5,0.0
Air Doctor,Consumer Services,0.0,40.0
Air Health,Appliances,15.0,0.0
Air Serbia,Air,1.0,0.0
AirDroid,B2B,35.0,0.0
