Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
A Pup Above,Animals & Pet Supplies,29,7.0,0.0
Kayak,Travel,29,0.8,1.04
SEMrush,Advertising & Marketing,29,0.0,500.0
HTVRont,Hobbies & Creative Arts,29,15.0,0.0
First Class Watches,Watches,29,3.0,0.0
Cato Fashions,Clothing & Apparel,29,4.0,0.0
EyeBuyDirect,Contacts & Glasses,29,4.0,0.0
HalloweenCostumes,Costumes,29,8.0,0.0
IHG,Hotel,29,4.0,0.0
OneTravel,Travel,29,0.0,25.0
Flycurvy,Swimwear,28,2.0,0.0
Naturalizer,Shoes,28,5.0,0.0
Checks Unlimited,Financial,28,7.0,0.08
Budget Pet Care,Animals & Pet Supplies,28,12.0,0.0
Oral B,Personal Care,28,15.0,0.0
Sol de Janeiro,Health & Beauty,28,8.0,0.0
"Earfun, Inc",Audio,28,12.0,0.0
Credit Karma,Financial,28,0.0,25.0
Bobbi Brown Cosmetics,Beauty & Cosmetics,27,8.0,0.0
Brastop Ltd,Underwear & Socks,27,5.6,0.0
minted.,Greeting Cards & Stationery,27,5.6,0.0
Covers And All,Yard & Garden,27,15.0,0.0
Ticketmaster,Event Tickets,27,5.0,0.0
Hobby Lobby,Hobbies & Creative Arts,27,2.0,0.0
Gritr Outdoors,Outdoor Recreation,27,10.0,8.0
Cheap Cruises,Cruises,27,3.2,0.0
Tenorshare,Software,27,55.0,0.0
travelup,Travel,27,4.0,15.0
Ipsy,Beauty & Cosmetics,27,56.8,10.0
Surebeauty,Health & Beauty,27,12.0,0.0
TaylorMade Golf,Golf,26,4.0,0.0
Freecash,Consumer Services,26,0.0,7.0
Bluetti,Batteries,26,7.0,0.0
INKBIRD Tech. C.L.,Food & Beverage,25,10.0,0.0
Lands' End,Clothing & Apparel,25,8.0,0.0
Everyman,Supplies,25,10.0,0.0
Creme De La Mer,Health & Beauty,25,5.0,0.0
Ashford Luxury Watches,Jewelry,25,6.0,0.0
Amanda Hair,Hair Accessories,25,12.0,0.0
Shop LC,Jewelry,25,8.0,11.0
ZAPAKA,Clothing & Apparel,25,10.0,0.0
HexClad Cookware,Kitchen & Dining,25,6.0,0.0
La Garconne,Clothing & Apparel,24,6.0,49.95
PrinterPix,Photo Gifts,24,12.0,0.0
Mountain Warehouse,Clothing & Apparel,24,6.0,0.0
Estee Lauder,Health & Beauty,24,15.0,0.0
superboxplus,Consumer Electronics,24,22.0,0.0
Greg Norman,Clothing & Apparel,24,10.0,0.0
LuvMe Hair,Health & Beauty,24,5.0,0.008
Scheels,Department Stores,24,6.0,0.0
Honey Play Box,Erotic,24,16.0,0.0
Subset,Underwear & Socks,24,5.0,0.0
Zeelool,Contacts & Glasses,24,11.0,2.0
Engwe,Sporting Goods,24,4.0,0.0
Yourties,Men,23,25.0,0.0
Spanx,Clothing & Apparel,23,5.0,0.0
MTD Parts,Vehicles & Parts,23,4.0,0.0
Cruises.com,Cruises,23,2.0,0.0
Saks Off 5TH,Clothing & Apparel,23,4.0,0.0
Dermstore,Health & Beauty,23,10.0,30.0
Hiboy,Cycling,23,6.0,0.0
Dior Beauty,Fragrance & Cologne,23,8.0,0.0
Surfshark,Web Hosting & Domains,23,65.0,28.0
True Religion,Clothing & Apparel,22,4.0,0.0
Michaels,Arts & Crafts,22,4.0,0.0
MomMed,Nursing & Feeding,22,15.0,0.0
MacPaw,Software,22,80.0,0.0
Origins,Health & Beauty,22,7.2,0.0
Petco,Animals & Pet Supplies,22,3.0,5.0
