Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
Gasland Chef,Household,9,8.0,0.0
Aiper,Smart Home Devices,9,15.0,0.0
HQST,Green Living (Eco-Friendly),9,7.0,0.0
Minerva Crafts,Arts & Crafts,8,16.0,0.0
Lalo,Babies & Kids,8,5.0,0.0
Macy's,Department Stores,8,5.0,0.0
Le Creuset,Household,8,8.0,0.0
Kendra Scott,Jewelry,8,3.0,0.0
Green Man Gaming,Video Game Consoles & Games,8,5.53,0.0
GHD Hair,Beauty & Cosmetics,8,13.6,0.0
Eddie Bauer,Clothing & Apparel,8,0.5,15.0
BBBGEM,Accessories,8,5.0,0.0
"Qingdao Carina Hair Products Co., Ltd.",Beauty & Spas,8,25.0,0.0
Gotodirect,Consumer Electronics,8,28.0,0.0
Kohree,Watercraft Parts & Accessories,8,8.0,0.0
Yodolla,Household,8,5.0,0.0
Luxy Dating App,Consumer Services,8,32.0,0.0
Oh Beauty,Health & Beauty,8,10.0,0.0
SHEIN,Department Stores,8,15.0,0.0
Modlily.com,Clothing & Apparel,8,10.0,0.01
Rockford Collection,Jewelry,8,3.5,0.0
Staples,Office,8,3.0,0.0
Bein Harim Tourism Services LTD,Tours,8,15.0,0.0
Buture,Appliances,8,10.0,0.0
Cloudways,Computers & Accessories,8,0.0,108.3
UrthBox,Food & Gourmet,8,7.0,0.0
Pride Shack,Jewelry,8,20.0,0.0
HoneyColony,Vitamins & Supplements,8,25.0,0.0
Cobra Electronics,Consumer Electronics,8,8.0,0.0
ApparelnBags,Clothing & Apparel,8,5.0,2.772
The Met Store,Collectibles,8,5.0,0.0
Wild Secrets,Sex Toys,8,16.0,0.0
White House Black Market,Clothing & Apparel,8,3.0,0.0
WatchMaxx,Watches,8,4.0,0.0
Vanity Planet,Health & Beauty,8,25.0,0.0
Dockers,Clothing & Apparel,8,8.0,0.0
TREBLAB,Audio,8,15.0,0.0
Heim Nest,Bed & Bath,8,20.0,0.0
No nonsense,Women,8,10.0,0.0
Goldia,Jewelry,8,10.0,0.0
ABBYY,Software,8,30.0,0.0
Dreame,Appliances,8,10.0,0.0
Lensmart,Contacts & Glasses,8,6.0,0.0
The Flex Company,Personal Care,8,10.0,0.0
MANSUR GAVRIEL,Accessories,8,10.0,0.0
Neje.shop,Computers & Accessories,8,8.0,0.0
YITAHOME,Household,8,12.0,0.0
BougeRV,Vehicles & Parts,8,8.0,0.0
Meridian Grooming,Beauty & Cosmetics,8,5.0,0.0
Tribesigns,Furniture,8,16.0,0.0
Wish,Department Stores,8,13.0,0.0
ABBE Glasses,Contacts & Glasses,8,12.0,1.0
Troy Bilt,Lawn & Garden,8,4.8,0.0
ESR Gear,Consumer Electronics,8,13.0,0.0
Audio Keeper,Audio,8,5.0,0.0
Enjoy Flowers,Flowers,8,10.4,60.0
Unicoeye,Health & Beauty,8,30.0,0.0
EcoFlow,Consumer Electronics,8,8.0,0.0
ECCO,Shoes,8,5.0,0.0
Modern Picnic,Kitchen & Dining,8,7.0,0.0
Canadian Insulin,Health Care,8,20.0,0.0
Go Guarded,Womens,8,25.0,0.0
Bgmgirl hair company,Hair Accessories,8,8.0,0.0
Yoho Mobile,Telephony,8,10.0,1.0
KUB Baby,Babies & Kids,8,15.0,0.0
Redken,Beauty & Cosmetics,8,7.0,0.0
Pearson,Education,8,23.0,10.0
Incerunmen,Clothing & Apparel,8,13.0,0.0
Neon Champ,Signage,8,1.0,0.0
StamPrints,Greeting Cards & Stationery,8,10.0,0.0
buycbdhub,CBD,8,20.0,0.0
Bloomchic,Clothing & Apparel,8,10.0,0.0
Micas,Clothing & Apparel,8,6.4,0.0
Big Horn Outdoors,Appliances,7,7.0,0.0
Body by Bella,Beauty & Cosmetics,7,17.0,0.0
Paiseec Mobility Solutions,Vehicles & Parts,7,10.0,0.0
Ohla Hotels(GLOBAL),Hotel,7,4.0,0.0
BudgetPetWorld,Animals & Pet Supplies,7,12.0,0.0
Black Halo,Clothing & Apparel,7,12.8,0.0
Blueseventy,Boating & Water Sports,7,17.0,0.0
Carter's,Clothing & Apparel,7,2.0,0.0
Current Catalog,Gifts,7,8.0,0.0
4dock,Hardware,7,3.0,0.0
AnkerSOLIX,Hardware,7,8.0,0.0
Prozis,Vitamins & Nutrition,7,13.0,0.0
KuKirin Scooter,Motor Vehicle Electronics,7,7.0,0.0
Nothing Projector,Consumer Electronics,7,5.0,0.0
Real Relax Mall,Furniture,7,10.0,0.0
Oneisall,Animals & Pet Supplies,7,15.0,0.0
Beatbot,Appliances,7,10.0,0.0
Liquid Health,Vitamins & Nutrition,7,18.0,0.0
Currex,Outdoor Recreation,7,5.0,0.0
Mikolo fitness,Exercise & Fitness,7,3.0,0.0
REDTOP,Shoes,7,15.0,0.0
AWAY,Luggage & Bags,7,4.0,0.0
Franco Sarto,Shoes,7,4.0,0.0
Foot Locker,Shoes,7,6.0,0.0
Keetsa,Bed & Bath,7,7.0,0.0
Guess,Clothing & Apparel,7,8.0,0.0
Happsy,Bed & Bath,7,5.0,0.0
ThriftBooks,Books & Magazines,7,5.0,0.0
Kove,Audio,7,25.0,0.0
Anthropologie,Household,7,8.0,0.0
Saks Fifth Avenue,Department Stores,7,2.0,0.0
Boost Mobile,Internet Services,7,50.0,0.0
Neiman Marcus,Department Stores,7,6.0,0.0
Alo Yoga,Clothing & Apparel,7,10.0,0.0
BroBasket,Alcohol / Beer,7,12.0,0.0
LaserAway Beauty,Health & Beauty,7,15.0,0.0
Julep,Health & Beauty,7,8.0,0.0
Grill Masters Club,Food & Gourmet,7,7.0,0.0
Haggar.com,Men,7,10.0,0.0
100% Pure,Beauty & Cosmetics,7,20.0,0.0
Levi's,Clothing & Apparel,7,6.4,0.0
Ryka,Shoes,7,10.0,0.0
Royal Doulton,Household,7,6.0,0.0
Quill,Office,7,7.0,0.0
OtterBox,Electronics Accessories,7,7.0,0.0
Mattress Firm,Bed & Bath,7,4.0,0.008
LifeStride,Shoes,7,10.0,0.0
Karmaloop,Clothing & Apparel,7,6.0,0.0
JINsoon,Personal Care,7,5.0,0.0
SILVERWIND,Clothing & Apparel,7,20.0,0.0
Harry & David,Food & Gourmet,7,8.0,5.0
Birthstones Jewelry,Jewelry,7,12.0,0.0
Blinkist,Books & Magazines,7,32.0,0.0
Ulanzi,Camera & Optic Accessories,7,10.0,0.0
Roborock,Supplies,7,5.0,0.0
SwitchBot,Smart Home Devices,7,15.0,0.0
Qobuz,Media,7,10.0,7.0
Aroma360,Household,7,17.0,0.0
Apos Audio,Consumer Electronics,7,15.0,0.0
RoleCosplay,Costumes,7,10.0,0.0
Momentum Management,Erotic,7,10.0,0.0
KIERIN NYC,Fragrance & Cologne,7,10.0,0.0
cobeads,Arts & Crafts,7,5.0,0.0
Chamaripa,Shoes,7,10.0,0.0
Voogmechic,Clothing & Apparel,7,10.0,0.0
CDKeys,Video Game Consoles & Games,7,5.0,0.0
Beyond Polish,Beauty & Cosmetics,7,5.0,0.0
Trust & Will,Consumer Services,7,5.0,0.0
Cymbiotika,Health & Beauty,7,5.0,0.0
MaXpeedingrods,Motor Vehicle Parts,7,8.0,0.0
Dell Home & Home Office,Computers & Accessories,7,10.0,0.46
CookUnity,Food & Gourmet,7,0.0,15.0
Brightech,Lighting,7,8.4,0.0
D'iyanu,Clothing & Apparel,7,5.0,0.0
Celebrity Cruises,Cruises,7,6.0,0.0
LESDIY,Toys & Games,7,8.0,0.0
Edible Arrangements,Gifts,7,4.0,0.0
House of Wise,CBD,7,20.0,0.0
Beauty Forever,Beauty & Cosmetics,7,8.0,0.0
K4G.com,Video Games,7,2.0,0.0
Check My Body Health,Health Care,7,15.0,0.0
Elite Learning,Online Courses,7,10.0,0.0
G-Force Inc.,Sporting Goods,7,5.0,0.0
Sweetology,Baking Supplies,7,15.0,0.0
Babeyond,Clothing & Apparel,7,9.6,0.0
Venustas,Clothing & Apparel,7,10.0,0.0
FrizzLife,Household,7,20.0,0.0
vapor.com,CBD,7,20.0,0.0
The Therapy Wrap,Health & Beauty,7,10.0,0.0
Timekettle,Consumer Electronics,7,12.0,0.0
Simone I. Smith,Jewelry,7,13.0,0.0
Quictent,Outdoor Living,7,8.0,0.0
Pure CBD Vapors,CBD,7,15.0,0.0
Kaiweets,Consumer Electronics,7,9.6,0.0
Bublédon,Clothing & Apparel,7,20.0,0.0
Focus Camera,Camera & Optics,7,4.0,0.0
Reitmans,Clothing & Apparel,7,1.6,0.0
TYMO Beauty,Health & Beauty,7,6.0,0.0
Further Food,Vitamins & Supplements,7,15.0,0.0
keysfan,Software,7,9.0,0.0
Albertsons,Online Grocery,7,3.0,5.0
GuidingCross,Clothing & Apparel,6,18.0,0.0
Ajazz,Computers & Accessories,6,12.0,0.0
YMI Jeans,Clothing & Apparel,6,15.0,0.0
"Suzhou Jumengfang Trading Co., Ltd",Costumes,6,3.0,0.0
AUTO-VOX,Vehicles & Parts,6,17.0,0.0
"HONSIT FURNITURE CO., LIMITED",Furniture,6,10.0,0.0
Bradford Exchange Checks,Financial,6,10.0,0.0
AECOJOY,Household,6,5.0,0.0
Best Buy,Consumer Electronics,6,2.0,0.0
Betsey Johnson,Clothing & Apparel,6,3.0,0.0
Case-Mate,Electronics Accessories,6,12.0,0.0
Carhartt,Clothing & Apparel,6,3.2,0.0
GoodLife Proteins,Food & Gourmet,6,18.0,0.0
Era of Nature,Health & Beauty,6,20.0,0.0
DirectDeals,Computers & Accessories,6,10.0,25.0
Outree,Babies & Kids,6,12.0,0.0
Lahome,Rugs & Flooring,6,14.0,0.0
Mango Outlet,Clothing & Apparel,6,4.0,0.0
Evo Hemp,CBD,6,30.0,0.0
Bowelero,Arts & Entertainment,6,7.0,0.0
Vakole,Cycling,6,4.0,0.0
Border Free Health,Health Care,6,12.0,0.0
Lodge Cast Iron,Kitchen & Dining,6,3.0,0.0
My Custom Bobblehead,Consumer Services,6,8.0,0.0
Kasper Clothing,Clothing & Apparel,6,5.0,0.0
gamakay,Consumer Electronics,6,13.0,0.0
Lintico,Clothing & Apparel,6,13.0,0.0
Tousains,Exercise & Fitness,6,20.0,0.0
Coalatree,Clothing & Apparel,6,8.0,0.0
Clarks,Shoes,6,9.6,0.0
jewelryandfindings,Jewelry,6,5.0,0.0
Competitive Cyclist,Cycling,6,5.0,0.0
Fulton Fish Market,Meats & Seafood,6,1.0,0.0
The Paisley Box,Household,6,6.4,0.0
E-Z UP,Outdoor Recreation,6,2.5,0.0
Velvet by Graham & Spencer,Clothing & Apparel,6,8.0,0.0
Discount School Supply,School Supplies,6,4.0,0.0
Finish Line,Sporting Goods,6,8.0,0.0
Guess Factory,Clothing & Apparel,6,4.0,0.0
Sea to Summit,Outdoor Recreation,6,5.0,0.0
Teabloom,Beverages,6,12.0,0.0
National Underwriter and Law Catalog,Books & Magazines,6,10.0,0.0
EightVape,e-Cigarettes & Vaporizers,6,10.0,0.0
Waterford,Gifts,6,6.0,0.0
Walmart,Department Stores,6,8.0,2.0
Sorel,Shoes,6,4.0,0.0
SelectATicket,Event Tickets,6,5.0,0.0
American Health Care Academy,Online Courses,6,18.0,0.0
Pluralsight,Education,6,30.0,0.0
Old Navy,Clothing & Apparel,6,8.0,0.0
Network Solutions,Web Hosting & Domains,6,0.0,100.0
Nest Bedding,Bed & Bath,6,3.0,0.0
Lyft,Travel,6,0.0,4.0
Kidstir,Food & Gourmet,6,8.0,0.0
Homary,Household,6,5.0,0.0
Handy.com,Home Services,6,0.0,30.0
French Toast,Clothing & Apparel,6,4.0,0.0
Fitz and Floyd,Kitchen & Dining,6,8.0,0.0
Expedia,Travel,6,6.0,2.0
Desert Essence,Health & Beauty,6,6.0,0.0
CVS,Health & Beauty,6,7.0,0.0
Jessica Simpson,Clothing & Apparel,6,5.0,0.0
Arangrant,Travel,6,0.0,25.0
Designer Shoe Warehouse,Shoes,6,6.0,0.0
Pacifica Beauty,Health & Beauty,6,6.4,0.0
Country Life Vitamins,Health & Beauty,6,6.0,0.0
Mohawk General Store,Clothing & Apparel,6,10.0,0.0
Capsuline,Vitamins & Nutrition,6,7.0,0.0
The Budgrower,Yard & Garden,6,10.0,0.0
The Qi Lifestyle Inc,Beverages,6,20.0,0.0
IKONICK,Home Decor,6,8.0,0.0
Nbeads,Arts & Entertainment,6,4.0,0.0
Nguyen Coffee Supply,Beverages,6,12.0,0.0
THB Hotel,Hotel,6,6.0,0.0
OPOVE,Health & Beauty,6,10.0,0.0
Foscam,Home Security Systems,6,15.0,0.0
iMobie,Software,6,50.0,0.0
Gymboree,Babies & Kids,6,2.0,0.0
ColourPop,Beauty & Cosmetics,6,8.0,0.0
OXVA,e-Cigarettes & Vaporizers,6,10.0,0.0
MissFox,Women,6,10.0,0.0
ayamayaoutdoor,Sporting Goods,6,8.0,0.0
GTHIC,Jewelry,6,12.0,0.0
Cle De Peau Beaute,Beauty & Cosmetics,6,8.0,0.0
Bizchair,Furniture,6,3.0,0.0
Tata Harper,Health & Beauty,6,8.0,0.0
L.L. Bean,Clothing & Apparel,6,6.0,0.0
Pedro Shoes,Shoes,6,7.0,0.0
Belkin,Electronics Accessories,6,6.4,0.0
Culture Kings,Clothing & Apparel,6,6.4,0.0
Pureology,Health & Beauty,6,8.0,0.0
Misook,Women,6,1.0,0.0
NAPA,Motor Vehicle Parts,6,0.8,0.0
Coach Outlet,Handbags & Wallets,6,5.0,0.0
TRANYA,Consumer Electronics,6,10.0,0.0
Vivaia,Shoes,6,10.0,0.0
Homebody,Furniture,6,10.0,0.0
Geeksoutfit,Clothing & Apparel,6,20.0,0.0
Blade City,Weapons,6,8.0,0.0
Kori,Vitamins & Supplements,6,6.0,0.0
Major Fitness,Exercise & Fitness,6,4.0,0.0
Himoda,Accessories,6,12.0,0.0
BASEUS,Electronics Accessories,6,80.0,6.336
Megawheels,Outdoor Recreation,6,8.0,0.0
Babeside,"Dolls, Playsets & Toy Figures",6,20.0,0.0
Retro Stage,Clothing & Apparel,6,22.0,0.0
Populish,Clothing & Apparel,6,10.4,0.0
Tires-Easy,Motor Vehicle Parts,6,5.0,0.0
TwoTrees,3D Printers,6,9.0,0.0
Wheel Hero,Vehicles & Parts,6,6.5,0.0
BERLOOK,Swimwear,6,13.0,0.0
AOHI,Electronics Accessories,6,20.0,0.0
EaseUS,Software,6,53.0,0.0
Ultra Mobile,Telephony,6,0.0,27.0
Dungarees,Clothing & Apparel,6,4.0,0.0
Selenichast,Jewelry,6,5.0,0.0
ShakePlease,Vitamins & Nutrition,6,10.5,20.0
WISKII Active,Clothing & Apparel,6,15.0,0.0
Dr. Hauschka,Beauty & Cosmetics,6,16.0,0.0
WELOCK,Smart Home Devices,6,10.0,0.0
Compression Sale,Clothing & Apparel,6,15.0,0.0
Lanolips,Beauty & Cosmetics,6,12.0,0.0
Safeway,Online Grocery,6,3.0,5.0
YorkTest,Health Care,6,10.0,0.0
Juvenon,Vitamins & Supplements,6,8.0,0.0
Joyfit,Exercise & Fitness,5,15.0,0.0
Mossroam,Internet Services,5,20.0,0.0
Blimburn Seeds,CBD,5,20.0,0.0
EPI International Limited,Jewelry,5,10.0,0.0
Robud,Babies & Kids,5,8.0,0.0
SEDETA,Office,5,10.0,0.0
Graywind,Home Decor,5,6.0,0.0
Honiture,Appliances,5,10.0,0.0
MSI,Computers & Accessories,5,2.0,0.0
Autonomous Inc.,Furniture,5,5.0,0.0
Elenker,Medical,5,7.0,0.0
CBDPure,CBD,5,25.0,0.0
1-800Lighting,Household,5,3.0,0.0
Anjays Designs,Jewelry,5,5.0,0.0
Beretta,Hunting & Shooting,5,6.4,0.0
Canada's Gift Baskets,Gift Baskets,5,10.0,0.0
Cheryl's Cookies,Gift Baskets,5,3.0,0.0
ApiraHome,Health & Beauty,5,4.0,0.0
Choice Hotels,Hotel,5,2.0,0.0
Acmer,Consumer Services,5,5.0,0.0
YesChef,Food & Gourmet,5,30.0,10.0
All Inclusive Outlet,Travel,5,4.0,0.0
Oxygen Machine,Health Care,5,15.0,0.0
Dango Products,Accessories,5,12.0,0.0
iteaworld,Beverages,5,12.0,0.0
Liberty Tabletop,Kitchen & Dining,5,1.0,0.0
Shokz,Audio,5,5.0,0.0
3DMAKERPRO,3D Printers,5,10.0,0.0
Losano,Women,5,30.0,0.0
Avidlove,Clothing & Apparel,5,17.0,0.0
chosgo hearing,Audio,5,18.0,0.0
ReAthlete,Sporting Goods,5,20.0,0.0
Gatorade,Food & Beverage,5,10.0,0.0
Sunmed,CBD,5,7.0,0.0
ALLEVEN,Beauty & Cosmetics,5,20.0,0.0
Jenny Craig,Diet & Fitness,5,10.0,0.0
Tom's Key,Vehicles & Parts,5,2.0,0.0
iContact Camera,Cameras,5,10.0,0.0
CINCOM,Health Care,5,12.0,0.0
Acanva,Furniture,5,10.0,0.0
JUGBOW,Dog Supplies,5,15.0,0.0
Cole Haan,Clothing & Apparel,5,6.4,0.0
Nashua Nutrition,Exercise & Fitness,5,5.0,0.0
E.L.F. Cosmetics,Beauty & Cosmetics,5,8.0,0.0
OpticsPlanet,Weapons,5,1.0,0.0
Web Hosting Pad,Web Hosting & Domains,5,0.0,70.0
BrainMD Health,College,5,25.0,0.0
Keranique,Health & Beauty,5,100.0,0.0
Escort Radar,Motor Vehicle Electronics,5,6.0,0.0
Ferns N Petals,Gifts,5,7.0,0.0
Funko,Toys & Games,5,10.0,0.0
Grace & Stella Co.,Beauty & Cosmetics,5,17.5,0.0
Nordic Pure Air Filters,Appliances,5,5.0,0.0
The Unemployed Philosophers Guild,Gifts,5,10.0,0.0
Eve Lom,Health & Beauty,5,9.0,0.0
Sovereign Laboratories LLC,Vitamins & Supplements,5,10.0,0.0
Viator,Travel,5,12.0,0.0
Yummie,Clothing & Apparel,5,10.0,0.0
SnoreRx,Health & Beauty,5,0.0,15.0
Philosophy,Beauty & Cosmetics,5,10.0,0.0
M.Gemi,Shoes,5,6.0,0.0
Autodesk,Computers & Accessories,5,10.0,0.0
Coats Skincare,Health & Beauty,5,10.0,0.0
Ultra Services,Web Hosting & Domains,5,65.0,0.0
TripAdvisor,Travel,5,11.0,0.0
StyleWe,Accessories,5,14.0,0.0
Stila Cosmetics,Beauty & Cosmetics,5,8.0,0.0
FabFitFun,Health & Beauty,5,4.8,5.0
Great Value Vacations,Travel,5,3.0,0.0
JellyBelly,Food & Gourmet,5,10.0,6.2
Laneige,Beauty & Cosmetics,5,9.0,0.0
Marshalls,Clothing & Apparel,5,3.0,0.0
Peet's Coffee,Food & Gourmet,5,6.0,0.0
Mikasa,Kitchen & Dining,5,4.0,0.0
Namecheap,Web Hosting & Domains,5,100.0,20.0
Naturepedic,Bed & Bath,5,10.0,0.0
Nina Shoes,Shoes,5,7.0,0.0
PandaHall,Jewelry,5,2.0,0.0
The Pfaltzgraff Co.,Kitchen & Dining,5,6.0,0.0
Picanova,Photo & Canvas Services,5,8.0,0.0
PrettyLittleThing,Women,5,9.0,0.0
Qatar Airways,Air,5,2.5,0.0
R.C. Willey,Household,5,2.0,0.0
Spreadshirt,Gifts,5,15.0,0.0
Kampgrounds of America,Camping & Hiking,5,18.4,15.0
Belffin,Furniture,5,8.0,0.0
IronPanda,Clothing & Apparel,5,18.0,0.0
Rob Keller MD,Vitamins & Supplements,5,25.0,0.0
Craighill,Household,5,10.0,0.0
Vape Street,CBD,5,15.0,0.0
Conscious Step,Clothing & Apparel,5,10.0,0.0
ZENTS,Bed & Bath,5,40.0,0.0
My Haircare & Beauty,Beauty & Cosmetics,5,8.0,0.0
Hcalory,Consumer Electronics,5,10.0,0.0
Harney & Sons,Beverages,5,8.0,0.0
Pond5,Media,5,6.0,0.0
RealTruck,Vehicles & Parts,5,4.0,0.0
Bagamour Box,Handbags & Wallets,5,12.0,0.0
Food Lion,Local Deals,5,0.0,1.0
Health-Ade,Beverages,5,12.0,0.0
Grey State Apparel,Clothing & Apparel,5,10.0,0.0
AOVO Store,Consumer Electronics,5,5.0,0.0
mybeadsfindings,Arts & Crafts,5,4.0,0.0
MUNBYN,Office,5,10.0,0.5
HAVA,Kitchen & Dining,5,6.4,0.0
Gyroor,Sporting Goods,5,10.0,0.0
Deep Sentinel Home Security,Home Security Systems,5,20.0,0.0
Circus NY,Clothing & Apparel,5,10.0,0.0
JIMMYJANE,Sex Toys,5,16.0,0.0
Antonioli,Clothing & Apparel,5,10.0,0.0
TadiBrothers,Vehicle Safety & Security,5,15.0,0.0
AnyPromo,B2B,5,3.2,0.0
Ming Wang Knits,Women,5,4.0,0.0
Theory Apparel,Clothing & Apparel,5,1.6,0.0
MESHKI,Women,5,12.0,0.0
Heat Holders,Clothing & Apparel,5,6.4,0.0
Sea New York,Clothing & Apparel,5,9.0,0.0
Dr. Comfort,Shoes,5,4.8,0.0
H10 Hotels,Travel,5,6.0,0.0
IBEROSTAR,Hotel,5,7.0,0.0
Coach,Handbags & Wallets,5,6.0,0.0
Jack Rogers,Shoes,5,1.0,0.0
Aosom,Department Stores,5,11.0,0.0
The Supplies Shops,Supplies,5,4.0,40.0
Bonafide,Vitamins & Supplements,5,4.0,0.0
Stirlingkit,Building Toys,5,20.0,0.0
American Blossom Linens,Household,5,15.0,0.0
X-sense,Household,5,12.0,0.0
Sunjoy Group,Household,5,9.0,0.0
Perdue Farms,Food & Gourmet,5,7.0,0.0
Homrest,Household,5,10.0,0.0
GweikeCloud,3D Printers,5,8.0,0.0
Movich Hotels,Hotel,5,6.0,0.0
RAVPower,Consumer Electronics,5,15.0,51.2
Mexico Grand Hotels,Hotel,5,6.0,0.0
Spacejoy,Household,5,15.0,0.0
Hardaddy,Clothing & Apparel,5,12.0,0.08
Villeroy & Boch,Kitchen & Dining,5,6.0,0.0
NatureMade,Vitamins & Supplements,5,20.0,0.0
Momcozy,Nursing & Feeding,5,9.0,0.0
AMIRO,Health & Beauty,5,12.0,0.0
HUE,Clothing & Apparel,5,6.4,0.0
Arabella Hair,Accessories,5,12.0,0.0
CogniFit,Software,5,12.0,0.0
Grownsy,Nursing & Feeding,5,12.0,0.0
Muukal,Contacts & Glasses,5,5.0,0.0
REP Provisions,Meats & Seafood,5,10.0,0.0
EduBirdie,Education,5,0.0,10.0
Sensi,Smart Home Devices,5,10.0,0.0
ROBOTIME,Baby Toys & Activity Equipment,5,10.0,0.0
3d Printer Accessories,Consumer Electronics,5,8.0,0.0
Anastasia Beverly Hills,Beauty & Cosmetics,5,14.0,0.0
Dr. Marty Pets,Animals & Pet Supplies,5,10.0,0.0
Diet Direct,Diet & Fitness,5,2.0,0.0
Skylum,Computers & Accessories,5,85.0,4.0
Keeps,Health & Beauty,5,0.0,20.0
Owlet,Babies & Kids,5,10.0,0.0
AW Bridal,Clothing & Apparel,5,8.0,0.0
Hawalili,Clothing & Apparel,5,12.0,0.0
Olipop,Food & Beverage,5,10.0,0.0
minooy,Luggage & Bags,5,10.0,0.0
Zosi,Consumer Electronics,5,6.5,0.0
Flybird Fitness,Weight Lifting,5,8.0,0.0
Keysoff,Computers & Accessories,5,9.0,0.0
Mr Key Shop,Software,5,8.0,0.0
ISDIN,Health & Beauty,5,20.0,0.0
Fourth Frontier,Consumer Electronics,5,25.0,0.0
The Phoenix,Erotic,5,3.2,30.0
BioIonic,Health & Beauty,5,10.0,0.0
Suunto,Watches,5,10.0,0.0
Surfside Supply Co.,Clothing & Apparel,5,25.0,0.0
Velowave,Cycling,5,12.0,0.0
Meeden Art,Arts & Crafts,4,10.0,0.0
Homery,Appliances,4,5.0,0.0
Dreamer Shrooms,CBD,4,10.0,0.0
SATELLAI,Animals & Pet Supplies,4,12.0,0.0
Razordon,Consumer Services,4,5.0,0.0
"Foshan City QKE clothing Co., LTD",Accessories,4,30.0,0.0
Kriddo,Baby Toys & Activity Equipment,4,15.0,0.0
wisermerchant,Vitamins & Supplements,4,4.0,0.0
Binary Racks - Global Affiliate Program,B2B,4,25.0,0.0
TINOO LLC,e-Cigarettes & Vaporizers,4,12.0,0.01
Lane Woods,Jewelry,4,10.0,0.0
Encha,Food & Gourmet,4,3.0,0.0
Just Chill Gummies,CBD,4,20.0,0.0
Campmor,Camping & Hiking,4,3.2,0.0
Navee Tech Scooter,Vehicles & Parts,4,6.0,0.0
Petscosset,Animals & Pet Supplies,4,12.0,0.0
Jupiter Bike,Cycling,4,6.0,0.0
Blacksmith,Weapons,4,7.0,0.0
Galaxy Treats,e-Cigarettes & Vaporizers,4,20.0,0.0
ArtemisAds,Advertising & Marketing,4,40.0,0.0
Aquasana,Household,4,8.0,0.0
BeautifiedYou.com ,Beauty & Cosmetics,4,10.0,0.0
Carousel Checks,Financial,4,40.0,0.0
Check Advantage,Financial,4,15.0,0.0
Keycense,Video Games,4,5.0,0.0
Colorful Images,Gifts,4,3.0,0.0
WowFare,Travel,4,0.0,9.0
Escalade Sports,Sporting Goods,4,5.0,0.0
Sleep Zone,Bed & Bath,4,15.0,0.0
BodyFlow Hydration,Vitamins & Nutrition,4,10.0,0.0
Darphin,Health & Beauty,4,6.0,0.0
Late Sunday Afternoon,Clothing & Apparel,4,12.0,0.01
Shokay,Clothing & Apparel,4,10.0,0.0
Pngtree,Consumer Services,4,3.0,0.0
Yamazaki,Household,4,10.0,0.0
Magid Glove & Safety,Work Safety,4,25.0,0.0
Aoolia,Personal Care,4,10.0,0.0
GritrSports,Weapons,4,4.8,0.0
Vertra,Beauty & Cosmetics,4,20.0,0.0
Mirador,Outdoor Living,4,10.0,0.0
COOP,Yard & Garden,4,10.0,0.0
Future Skills Academy,Online Courses,4,20.0,0.0
Unagi Scooters,Vehicles & Parts,4,0.0,16.0
Eye-oo,Clothing & Apparel,4,6.0,0.0
Plank+Beam,Furniture,4,1.0,0.0
AlltheMen,Men,4,10.0,0.0
DrinkWYNK,CBD,4,20.0,0.0
Pevonia,Beauty & Cosmetics,4,8.0,6.4
Wavymy Hair,Hair Accessories,4,5.0,0.0
Bonsaii,Supplies,4,6.0,0.5
GEVI,Kitchen & Dining,4,12.0,0.0
Ovago,Travel,4,0.0,30.0
innisfree,Health & Beauty,4,4.0,0.0
Mimi Panda,Arts & Crafts,4,35.0,0.0
Costway,Department Stores,4,80.0,0.0
Sam's Club,Department Stores,4,15.0,0.0
Ergobaby,"Car Seats, Carriers & Strollers",4,16.0,0.0
Famous Smoke Shop,Cigars,4,6.0,0.0
Vans,Shoes,4,2.0,0.0
Wolferman's,Food & Gourmet,4,3.0,0.0
"Crystal Plus, Inc.",Photo Gifts,4,8.0,0.0
Gazelle,Telephony,4,10.0,0.0
Good Morning Snore Solution,Health & Beauty,4,35.0,5.0
Greekgear,Clothing & Apparel,4,10.0,0.0
"LONDONTOWN, INC.",Health & Beauty,4,8.0,0.0
Sagan Life,Sporting Goods,4,12.0,0.0
Agoda,Travel,4,6.0,0.0
SOL Organics,Bed & Bath,4,20.0,0.0
Talkspace,Consumer Services,4,0.0,500.0
Delta Extrax,CBD,4,35.0,0.0
QVR Hair,Beauty & Cosmetics,4,12.0,0.0
ScalpMED,Personal Care,4,5.0,0.0
Splendid,Clothing & Apparel,4,4.0,0.0
Caudalie,Health & Beauty,4,7.0,0.0
YourMoonPhase,Jewelry,4,10.0,0.0
Discount Tire,Vehicles & Parts,4,2.0,0.0
Sky by Gramophone,Audio,4,3.0,0.0
Kidpik Basics,Clothing & Apparel,4,10.0,0.0
Aurate New York,Jewelry,4,6.0,0.0
Tiqets,Event Tickets,4,7.5,0.0
WebEyeCare,Contacts & Glasses,4,4.0,4.0
Molton Brown,Beauty & Cosmetics,4,6.0,0.0
Kosterina,Food & Gourmet,4,20.0,0.0
Udemy,Online Courses,4,25.0,0.0
Tractor Supply,Tools,4,1.0,0.0
Tours4Fun,Vacation Packages,4,20.0,0.0
Lowe's,Hardware,4,4.0,0.0
The Motley Fool,Financial,4,0.0,600.0
