Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
Myprotein,Vitamins & Supplements,US,30,15.00%,0
A Pup Above,Animals & Pet Supplies,US,29,7.00%,
Kayak,Travel,US,29,0.80%,1.04
SEMrush,Advertising & Marketing,US,29,,500
HTVRont,Hobbies & Creative Arts,US,29,15.00%,
First Class Watches,Watches,US,29,3.00%,
Cato Fashions,Clothing & Apparel,US,29,4.00%,
EyeBuyDirect,Contacts & Glasses,US,29,4.00%,
HalloweenCostumes,Costumes,US,29,8.00%,
IHG,Hotel,US,29,4.00%,0
OneTravel,Travel,US,29,,25
Credit Karma,Financial,US,28,0.00%,25
Oral B,Personal Care,US,28,15.00%,
"Earfun, Inc",Audio,US,28,12.00%,
Sol de Janeiro,Health & Beauty,US,28,8.00%,
Flycurvy,Swimwear,US,28,2.00%,
Budget Pet Care,Animals & Pet Supplies,US,28,12.00%,
Checks Unlimited,Financial,US,28,7.00%,0.08
Naturalizer,Shoes,US,28,5.00%,
Tenorshare,Software,US,27,55.00%,0
Surebeauty,Health & Beauty,US,27,12.00%,
Ipsy,Beauty & Cosmetics,US,27,56.80%,10
travelup,Travel,US,27,4.00%,15
Gritr Outdoors,Outdoor Recreation,US,27,10.00%,8
Cheap Cruises,Cruises,US,27,3.20%,
Bobbi Brown Cosmetics,Beauty & Cosmetics,US,27,8.00%,
Hobby Lobby,Hobbies & Creative Arts,US,27,2.00%,0
Ticketmaster,Event Tickets,US,27,5.00%,
Covers And All,Yard & Garden,US,27,15.00%,
minted.,Greeting Cards & Stationery,US,27,5.60%,
Brastop Ltd,Underwear & Socks,US,27,5.60%,
Bluetti,Batteries,US,26,7.00%,
TaylorMade Golf,Golf,US,26,4.00%,
Freecash,Consumer Services,US,26,,7
ZAPAKA,Clothing & Apparel,US,25,10.00%,
Shop LC,Jewelry,US,25,8.00%,11
Amanda Hair,Hair Accessories,US,25,12.00%,
HexClad Cookware,Kitchen & Dining,US,25,6.00%,
INKBIRD Tech. C.L.,Food & Beverage,US,25,10.00%,
Ashford Luxury Watches,Jewelry,US,25,6.00%,
Creme De La Mer,Health & Beauty,US,25,5.00%,
Everyman,Supplies,US,25,10.00%,
Lands' End,Clothing & Apparel,US,25,8.00%,
Zeelool,Contacts & Glasses,US,24,11.00%,2
Subset,Underwear & Socks,US,24,5.00%,
Honey Play Box,Erotic,US,24,16.00%,
Scheels,Department Stores,US,24,6.00%,
Engwe,Sporting Goods,US,24,4.00%,
LuvMe Hair,Health & Beauty,US,24,5.00%,0.008
La Garconne,Clothing & Apparel,US,24,6.00%,49.95
Greg Norman,Clothing & Apparel,US,24,10.00%,
superboxplus,Consumer Electronics,US,24,22.00%,
Estee Lauder,Health & Beauty,US,24,15.00%,
Mountain Warehouse,Clothing & Apparel,US,24,6.00%,0
PrinterPix,Photo Gifts,US,24,12.00%,
Surfshark,Web Hosting & Domains,US,23,65.00%,28
Dior Beauty,Fragrance & Cologne,US,23,8.00%,
Hiboy,Cycling,US,23,6.00%,
Dermstore,Health & Beauty,US,23,10.00%,30
Yourties,Men,US,23,25.00%,
Cruises.com,Cruises,US,23,2.00%,
MTD Parts,Vehicles & Parts,US,23,4.00%,
Saks Off 5TH,Clothing & Apparel,US,23,4.00%,
Spanx,Clothing & Apparel,US,23,5.00%,
True Religion,Clothing & Apparel,US,22,4.00%,
Michaels,Arts & Crafts,US,22,4.00%,0
MomMed,Nursing & Feeding,US,22,15.00%,
MacPaw,Software,US,22,80.00%,
Origins,Health & Beauty,US,22,7.20%,
Petco,Animals & Pet Supplies,US,22,3.00%,5
Under Armour,Athletics,US,21,12.00%,0
Vevor,Hardware,US,21,6.00%,
Gamivo,Video Games,US,21,5.00%,
Voghion,Department Stores,US,21,12.00%,0
ALLPOWERS,Batteries,US,21,10.00%,
TinaCustom,Shoes,US,21,10.00%,
Nutrafol,Vitamins & Supplements,US,21,,40
Adam & Eve,Erotic,US,21,11.00%,0.24
Dyson,Appliances,US,21,6.40%,
Jo Malone,Health & Beauty,US,21,7.50%,
Ulla Popken,Plus,US,21,12.00%,0
ASOS,Clothing & Apparel,US,21,6.00%,
Palmetto State Armory,Weapons,US,21,5.00%,
PetMeds,Animals & Pet Supplies,US,21,5.00%,
Batteries Plus,Batteries,US,20,1.60%,5
Portable Hookahs,Tobacco,US,20,10.00%,
Bombas,Clothing & Apparel,US,20,12.00%,0
Manitoba Harvest,CBD,US,20,6.00%,
Barcelo Hotel Group,Hotel,US,20,6.00%,0
Adorime,Sex Toys,US,20,20.00%,
Manly,Men,US,20,17.00%,
BestNest,Outdoor Living,US,20,4.00%,
Coldwater Creek,Women,US,20,1.00%,3
ELEMIS,Personal Care,US,20,12.00%,
Fiverr,B2B,US,20,,7
Natchez Shooters Supplies,Hunting & Shooting,US,20,4.00%,
DTLR,Shoes,US,20,3.00%,0
Skechers,Shoes,US,20,8.50%,
Zazzle,Personalized gifts,US,20,6.00%,
Mixbook,Photo & Canvas Services,US,20,8.00%,
Sixt,Car Rental,US,19,8.00%,300
Chewy,Animals & Pet Supplies,US,19,6.00%,0
smafan Outlet,Smart Home Devices,US,19,7.00%,
Geekom,Consumer Electronics,US,19,3.00%,
GeetaHair,Hair Accessories,US,19,5.00%,
Vooglam,Contacts & Glasses,US,19,10.00%,
EGOHOME,Bed & Bath,US,19,13.00%,
INSPECIAL HOME,Home Decor,US,19,20.00%,
GNC,Vitamins & Supplements,US,19,3.00%,
Hanna Andersson,Clothing & Apparel,US,19,3.00%,
SpyAssociates.com,Consumer Electronics,US,19,6.00%,
Lulus,Clothing & Apparel,US,19,15.00%,
Ashley,Household,US,19,6.00%,
Office Depot,Office,US,19,5.00%,0
J. Jill,Clothing & Apparel,US,18,4.00%,0
Soundcore,Audio,US,18,9.00%,
GemsNY,Jewelry,US,18,6.40%,
GOVEE,Lighting,US,18,12.00%,
Gexa Electricity & Energy,Consumer Services,US,18,,13
FlutterHabit,Beauty & Cosmetics,US,18,2.40%,
Annmarie Skin Care,Personal Care,US,18,12.00%,
Wellfit,Exercise & Fitness,US,18,5.00%,
1- 800 Flowers,Flowers,US,18,6.00%,5
Canada Pet Care,Animals & Pet Supplies,US,18,12.00%,
Keds,Shoes,US,18,10.00%,
NIKE,Sporting Goods,US,18,9.00%,0
Spirit Halloween,Halloween,US,18,4.00%,
FLEXIMOUNTS,Household,US,18,7.00%,
Volcanica Coffee Company,Food & Gourmet,US,18,10.00%,
