Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
Diamond Art Paintin,Arts & Entertainment,US,2,20.00%,1.5
Pawstruck,Dog Supplies,US,2,4.00%,
Shooters Choice,Weapons,US,2,3.00%,
Vivi Bicycle Technology Limited,Cycling,US,2,12.00%,
Mr. Black,Personal Care,US,2,10.00%,
ROCKBROS,Cycling,US,2,15.00%,
Walker Defense Research,Weapons,US,2,4.00%,
Cadense,Shoes,US,2,5.00%,
CG Hunter,Yard & Garden,US,2,10.00%,
TOMO Bottle,Supplies,US,2,30.00%,
Wild Zora,Food & Beverage,US,2,10.00%,
Yoolax,Home Decor,US,2,4.00%,
Le Specs,Sunglasses,US,2,1.00%,
CruisesOnly,Cruises,US,2,3.20%,
Aspiron,Smart Home Devices,US,2,10.00%,
Millennium Shoes,Shoes,US,2,8.00%,
Pure TheraPro Rx,Vitamins & Supplements,US,2,1.00%,
VEGA Foam Insulation,Building Supplies,US,2,5.00%,
DK Hardware,Hardware,US,2,4.00%,
Neutral Curtains,Home Decor,US,2,15.00%,
187 Killer Pads,Sporting Goods,US,2,5.00%,
Eayon hair,Health & Beauty,US,2,8.00%,
Utimi,Erotic,US,2,20.00%,
Wellness Wag,Consumer Services,US,2,15.00%,
Sweet Rollz,Golf,US,2,20.00%,
Ceretone,Audio,US,2,8.00%,
iFLY,Outdoor Recreation,US,2,8.00%,
Smile Zemi,Education,US,2,8.00%,
Mori Optical,Sunglasses,US,2,7.00%,
Magnetic Me,Baby & Kids,US,2,5.00%,
Enphase,Batteries,US,2,10.00%,
eat G.A.N.G.S.T.E.R.,Baking Supplies,US,2,20.00%,
gift shire,Personalized gifts,US,2,10.00%,
Dress Up America,Clothing & Apparel,US,2,2.00%,
Runmefit Inc,Exercise & Fitness,US,2,12.00%,
MOTIVAPE,e-Cigarettes & Vaporizers,US,2,15.00%,
Aperturee,Camera & Optics,US,2,10.00%,
Nunona,Desserts,US,2,12.00%,12
FORM INSOLES,Shoes,US,2,12.00%,
Junk Brands,Clothing & Apparel,US,2,2.40%,
Dokoo,Camera & Optics,US,2,12.00%,
ANATOMY,Health & Beauty,US,2,15.00%,
Training The Street,Online Courses,US,2,15.00%,
DriveSafe Online,Online Courses,US,2,10.00%,
Wondercide,Animals & Pet Supplies,US,2,12.00%,
Flower Knows,Health & Beauty,US,2,8.00%,
Anne Cole,Clothing & Apparel,US,2,5.60%,
1-800-PACK-RAT,Consumer Services,US,2,11.20%,
Guzzini,Kitchen & Dining,US,2,6.00%,
SockWell,Underwear & Socks,US,2,10.00%,
Georigia,Clothing & Apparel,US,2,15.00%,
Pflueger,Fishing,US,2,10.00%,
Diamond Art Club,Arts & Crafts,US,2,6.00%,
Singer,Hobbies & Creative Arts,US,2,8.00%,
Fable & Mane,Health & Beauty,US,2,3.00%,
Blacklyte,Office,US,2,10.00%,
Cleure,Health & Beauty,US,2,7.00%,
Westgate Reservations,Vacation Packages,US,2,16.00%,
Pascal,Clothing & Apparel,US,2,8.00%,
CALPAK Travel,Luggage & Bags,US,2,2.00%,
PLAYALUXE,Clothing & Apparel,US,2,20.00%,
Fastest VPN,Internet Services,US,2,90.00%,
ClearStem Skincare,Health & Beauty,US,2,8.00%,2.4
Cubitt,Clothing & Apparel,US,2,10.00%,
Gisada US,Fragrance & Cologne,US,2,7.00%,
Lacros,Sporting Goods,US,2,10.00%,
Rest Religion,Health & Beauty,US,2,10.00%,
Easy Plumbing,Household,US,2,5.00%,
Sicotas,Furniture,US,2,12.00%,
Resso.ai,Consumer Services,US,2,30.00%,
Arctic Farms,Food & Beverage,US,2,10.00%,
Karelias And Sons,Rugs & Flooring,US,2,20.00%,
Tameson,Tools,US,2,5.00%,
Eddie Bauer Kids,Clothing & Apparel,US,2,5.00%,
Big Wall Decor,Household,US,2,10.00%,
Wrinkles Schminkles,Health & Beauty,US,2,6.00%,
FooJun LLC,Bed & Bath,US,2,15.00%,
"iFLYTEK (HONG KONG) Co.,Ltd.",Consumer Services,US,2,10.00%,
PRECISION OPTICAL GROUP,Contacts & Glasses,US,2,20.00%,
Lunyee,Consumer Services,US,2,10.00%,
wish fine jewelry,Jewelry,US,2,10.00%,
JTB Products LLC,Consumer Electronics,US,2,23.00%,
Little Bot Inc.,Baby Toys & Activity Equipment,US,2,8.00%,
"SEYMAC CO.,LTD",Consumer Services,US,2,15.00%,20
PosheEra,Consumer Services,US,2,10.00%,
"Royal Clips, LLC",Consumer Services,US,2,10.00%,
Double Oak Essentials,Handbags & Wallets,US,2,12.00%,
ALPICOOL INC.,Appliances,US,2,15.00%,
A-SUB,Consumer Services,US,2,10.00%,
Lumy Health,Health & Beauty,US,2,8.00%,
Moon And Skin (US),Beauty & Cosmetics,US,2,30.00%,
Elixir Shots,Health & Beauty,US,2,15.00%,
Vitaraise Supplements,Vitamins & Supplements,US,2,20.00%,
NicPouch Strip,Tobacco,US,2,10.00%,
Trending Custom,Gifts,US,2,12.00%,
GoHydrate,Beverages,US,2,8.00%,
VapingLand,e-Cigarettes & Vaporizers,US,2,15.00%,
Vocic,Consumer Services,US,2,12.00%,
FORJARS,Household,US,2,15.00%,
UKSG.tools,Kitchen & Dining,US,2,10.00%,
Node Digital Asset Group Limited,Sex Toys,US,2,12.00%,
"Wonders Technology Co.,Ltd",Consumer Services,US,2,20.00%,
Jennov,Consumer Services,US,2,12.00%,
Chillhouse,Health & Beauty,US,2,8.00%,
Casol Inc,Kitchen & Dining,US,2,15.00%,
Save the Girls,Accessories,US,2,3.00%,
Bengal Products,Consumer Services,US,2,20.00%,
Effecty,Health & Beauty,US,2,20.00%,
Healthy Bud,Dog Supplies,US,2,8.00%,
Befbee Rug,Furniture,US,2,4.00%,
HeatMate,Kitchen & Dining,US,2,10.00%,
easy-peasy,Clothing & Apparel,US,2,5.00%,
Learning Lattice,Education,US,2,20.00%,
Go Visit Cancun,Travel,US,2,4.00%,
Biocare Nutrition,Vitamins & Supplements,US,2,25.00%,
MIHOGO INC.,Motor Vehicle Electronics,US,2,10.00%,0
Hip Optical,Health & Beauty,US,2,10.00%,
Clawlab,Arts & Entertainment,US,2,5.00%,
Reistor,Clothing & Apparel,US,2,5.00%,
Pro Life Blend,Health & Beauty,US,2,18.00%,
Huina Toys,Toys & Games,US,2,6.00%,
Engraved Tracks,Personalized gifts,US,2,30.00%,
Fabrique,Clothing & Apparel,US,2,9.00%,
"Shenzhen Zhencheng Technology Co.,Ltd.",Camera & Optic Accessories,US,2,8.00%,
GLISSANT,Beauty & Cosmetics,US,2,15.00%,
"C&amp;R Unique Ornaments, Inc",Weddings,US,2,8.00%,
Linoto,Bed & Bath,US,2,8.00%,
LOVE THE LABEL NYC,Clothing & Apparel,US,2,8.00%,
S/W/F Boutique,Clothing & Apparel,US,2,7.00%,
PURTY BODY,Women,US,2,10.00%,
Memorialize Art US Affiliate Proigram,Arts & Entertainment,US,2,15.00%,
VSGO,Backpacks,US,2,10.00%,
Xlaserlab,,US,2,8.00%,
A1 Supplements,Vitamins & Supplements,US,2,20.00%,
Constant Contact,Office,US,2,50.00%,105
Allen Edmonds,Clothing & Apparel,US,2,10.00%,
Ashley Stewart,Plus,US,2,8.00%,0
ATM Collection,Clothing & Apparel,US,2,7.00%,
AudioBooksNow,Audio,US,2,8.00%,
Bake Me A Wish,Gifts,US,2,13.00%,
Best Vet Care,Animals & Pet Supplies,US,2,10.00%,
Boll & Branch,Household,US,2,4.00%,
Brenthaven,Accessories,US,2,8.00%,
Burpee Gardening,Yard & Garden,US,2,5.00%,
BuzzPinky,Erotic,US,2,5.00%,
Cariloha,Clothing & Apparel,US,2,6.00%,
Carl's Golfland,Golf,US,2,4.00%,
Chaser Brand,Clothing & Apparel,US,2,4.00%,
Day-Timer,Office,US,2,5.00%,
DKNY,Clothing & Apparel,US,2,3.20%,
Dr. Berg,Health & Beauty,US,2,8.00%,
DubsLabs,Audio,US,2,20.00%,
Ego Shoes Ltd,Clothing & Apparel,US,2,5.00%,
Marriott,Hotel,US,2,3.00%,
Ettitude,Household,US,2,8.00%,
EuroOptic.com,Weapons,US,2,12.00%,
FitFlop,Shoes,US,2,4.00%,
Flexispot,Furniture,US,2,6.40%,
Fred Meyer Jewelers,Jewelry,US,2,12.00%,
From You Flowers,Flowers,US,2,8.00%,
Gap Factory,Clothing & Apparel,US,2,4.00%,0
GelPro,Kitchen & Dining,US,2,5.00%,
Gem and Harmony,Jewelry,US,2,6.00%,
Godiva,Desserts,US,2,8.00%,
Good American,Clothing & Apparel,US,2,1.00%,
Gotham Cigars,Cigars,US,2,10.00%,
Halston,Clothing & Apparel,US,2,5.00%,
Hammacher Schlemmer,Household,US,2,5.00%,
Helzberg Diamonds,Jewelry,US,2,4.00%,
Homage,Clothing & Apparel,US,2,6.00%,
ISA Professional,Health & Beauty,US,2,10.00%,
Jarlo London,Clothing & Apparel,US,2,4.00%,
Joes New Balance Outlet,Shoes,US,2,2.00%,
Kinguin,Video Games,US,2,20.00%,0
KiwiCo,Box Subscriptions,US,2,11.00%,0
LATAM Airlines,Travel,US,2,2.00%,
LifeExtension,Vitamins & Supplements,US,2,15.00%,
The Framery,Contacts & Glasses,US,2,10.00%,1
LSPACE,Clothing & Apparel,US,2,5.00%,
Lugz Footwear,Shoes,US,2,8.00%,
Malin+Goetz,Health & Beauty,US,2,5.00%,
Master & Dynamic,Audio,US,2,6.40%,
Matt & Nat,Clothing & Apparel,US,2,4.00%,
Monoprice,Consumer Electronics,US,2,3.00%,
MSC,Supplies,US,2,2.00%,10
National Tyres and Autocare,Motor Vehicle Parts,US,2,2.40%,
NordicTrack,Exercise & Fitness,US,2,8.00%,
NYDJ,Women,US,2,8.00%,
PatchMD,Health Care,US,2,12.00%,
Pep Boys,Vehicles & Parts,US,2,4.00%,3
Perry Ellis,Clothing & Apparel,US,2,6.00%,
Pet Care Supplies,Animals & Pet Supplies,US,2,10.00%,
Peter Thomas Roth Labs,Beauty & Cosmetics,US,2,10.00%,
prAna,Clothing & Apparel,US,2,5.00%,0
"Promo Direct, Inc.",B2B,US,2,6.00%,
Quay,Sunglasses,US,2,8.00%,
Ritani,Jewelry,US,2,4.00%,
Rokform,Telephony,US,2,8.00%,
Samsonite,Luggage & Bags,US,2,10.00%,
Schutz Shoes,Shoes,US,2,15.00%,
Sharper Image,Consumer Electronics,US,2,12.00%,
SlideBelts,Men,US,2,10.00%,
Sperry,Shoes,US,2,5.00%,3.96
Standards and Practices,Clothing & Apparel,US,2,9.00%,
Statelinetack.com,Sporting Goods,US,2,11.00%,
STDCheck.com,Health & Beauty,US,2,15.00%,
Christy Sports,Sporting Goods,US,2,1.00%,
Stuart Weitzman,Clothing & Apparel,US,2,10.00%,0
TaskRabbit,Construction,US,2,,6
BlackBow,Jewelry,US,2,8.00%,
The Warming Store,Clothing & Apparel,US,2,8.00%,
TrueLeaf,Lawn & Garden,US,2,8.00%,
TrustedHousesitters,Consumer Services,US,2,,35
UNIONBAY,Clothing & Apparel,US,2,8.00%,
UNIQLO,Clothing & Apparel,US,2,4.80%,
ESPA Skincare,Health & Beauty,US,2,12.00%,0
Vanna Belt,Health & Beauty,US,2,3.00%,
VRBO,Travel,US,2,2.00%,1.024
Winebasket,Wine,US,2,7.00%,
Wine.com,Wine,US,2,6.00%,
Intimissimi,Clothing & Apparel,US,2,12.00%,
World Wide Stereo,Audio,US,2,3.00%,
YLANG23,Jewelry,US,2,7.20%,
Alaska Gold Seafood,Food & Gourmet,US,2,13.00%,
ALIVAPE,e-Cigarettes & Vaporizers,US,2,8.00%,
Art of Tea,Food & Gourmet,US,2,10.00%,
Cables.com,Consumer Electronics,US,2,11.00%,
Century Martial Arts,Sporting Goods,US,2,5.00%,
Rounded Gear,Weapons,US,2,18.00%,
Dancewear Solutions,Clothing & Apparel,US,2,6.00%,
DreamCloud,Bed & Bath,US,2,12.00%,150
Easy Roller Dice,Toys & Games,US,2,15.00%,
"EcoGear FX, Inc.",Outdoor Recreation,US,2,12.00%,
EnemaSupply.com,Health Care,US,2,10.83%,
Eyeko,Contacts & Glasses,US,2,12.00%,
Five Finger Tees,Clothing & Apparel,US,2,10.00%,
Floralkini,Clothing & Apparel,US,2,8.00%,
Gaffos.com,Sunglasses,US,2,15.00%,
GlowHost.com,Web Hosting & Domains,US,2,,125
Hansen Surfboards,Sporting Goods,US,2,10.00%,0
Heartsmart,Health & Beauty,US,2,15.00%,
HomeHealthCareShoppe.com,Health & Beauty,US,2,12.00%,
Hometown Hero,Health & Beauty,US,2,4.00%,
Ink4Less,Ink,US,2,5.00%,
Kind Juice,e-Cigarettes & Vaporizers,US,2,10.00%,
Larson Jewelers,Jewelry,US,2,15.00%,
LOOK Optic,Contacts & Glasses,US,2,2.00%,
LoveBook,Personalized gifts,US,2,15.00%,
Gotcha Matcha,Beverages,US,2,9.00%,
Movavi,Software,US,2,30.00%,
"Newton Baby, Inc.",Babies & Kids,US,2,5.00%,
Nitecore Store,Outdoor Recreation,US,2,5.00%,
NY Designer Fabrics,Arts & Crafts,US,2,6.00%,
Once Upon a Tee,Clothing & Apparel,US,2,12.50%,
Print Games Now,Party Supplies,US,2,35.00%,
Puffy Mattress,Household,US,2,22.50%,
Readers.com,Contacts & Glasses,US,2,6.00%,
Redd Remedies,Health & Beauty,US,2,15.00%,
Shirtframe / Shart.com,Household,US,2,8.00%,0.03
ShopInPrivate.com - PriveCo Inc.,Erotic,US,2,10.87%,
Spray Planet,Arts & Crafts,US,2,5.00%,
supersmile,Health & Beauty,US,2,15.00%,
Talbots,Clothing & Apparel,US,2,2.00%,0
Tempur-Pedic,Bed & Bath,US,2,2.00%,
Trivago,Hotel,US,2,80.00%,3
Victoria Emerson,Jewelry,US,2,16.00%,
Unique Wellness,Personal Care,US,2,10.00%,
Magnifique,Kitchen & Dining,US,2,15.00%,
Redline Automotive Accessories Corp.,"Vehicle Maintenance, Care & Decor",US,2,7.00%,
SuperAreaRugs.com,Rugs & Flooring,US,2,2.00%,
The Jacket Maker,Clothing & Apparel,US,2,10.00%,
Build-A-Bear,Toys,US,2,5.00%,
Mystery Ranch Backpacks,Outdoor Recreation,US,2,5.00%,
Home Depot,Household,US,2,8.00%,
Mint Mobile,Telephony,US,2,,5
FlexClip,Software,US,2,35.00%,
Camille Jewelry,Jewelry,US,2,10.00%,5
JunoActive,Plus,US,2,5.00%,
Boutique Rugs,Household,US,2,4.00%,
Desigual,Clothing & Apparel,US,2,10.00%,
Garrett Wade,Tools,US,2,10.00%,
Weight Watchers,Diet & Fitness,US,2,,10
123RF,Arts & Entertainment,US,2,20.00%,
525 America,Clothing & Apparel,US,1,5.00%,
Zero Breeze,Camping & Hiking,US,1,6.00%,
Arcbazar,Home Decor,US,1,10.00%,
Fuse Reel,Electronics Accessories,US,1,15.00%,
LYFE Fuel,Vitamins & Supplements,US,1,8.00%,
Wet n Wild,Beauty & Cosmetics,US,1,6.00%,
Yesglasses International Inc.,Contacts & Glasses,US,1,5.00%,
Rodd & Gunn,Men,US,1,1.00%,
Boundary Supply,Backpacks,US,1,10.00%,
Lasfit,Vehicles & Parts,US,1,0.50%,
Evan Evans Tours,Tours,US,1,12.00%,
Niccolo Hotels,Hotel,US,1,4.00%,
Cotton On,Clothing & Apparel,US,1,3.00%,
Spongelle,Health & Beauty,US,1,20.00%,
Bonjour Global Development Limited,Health & Beauty,US,1,5.00%,
ShopSonix,Consumer Electronics,US,1,10.00%,
Grosche,Food & Beverage,US,1,10.00%,
CodaKid,Online Courses,US,1,12.00%,
Bemz,Household,US,1,80.00%,
"Shenzhen WOTOFO Technology Co., Ltd",e-Cigarettes & Vaporizers,US,1,8.00%,
Mukzin,Clothing & Apparel,US,1,15.00%,
Bodyography,,US,1,5.00%,
Especially Yours,Accessories,US,1,10.00%,
Qunol,Vitamins & Supplements,US,1,8.00%,
Be Live Hotels,Travel,US,1,4.50%,
Cox Communications,Internet Services,US,1,,75
Leam,Clothing & Apparel,US,1,9.00%,
310 Nutrition,Diet & Fitness,US,1,10.00%,
Eric Javits,Accessories,US,1,5.00%,
Felina Intimates,Underwear & Socks,US,1,8.00%,
Beachly,Box Subscriptions,US,1,0.00%,25
Propper,Clothing & Apparel,US,1,5.50%,
LendKey,Financial,US,1,,320
SiO Beauty,Beauty & Cosmetics,US,1,8.00%,
getspeks,Toys & Games,US,1,10.00%,
Allure Beauty Box,Beauty & Cosmetics,US,1,,9.6
Vous Vitamin,Vitamins & Supplements,US,1,20.00%,
Blenders Eyewear,Sunglasses,US,1,1.60%,
JuJuBe,Babies & Kids,US,1,2.40%,
JD Sports,Clothing & Apparel,US,1,10.00%,0
Current/Elliott,Clothing & Apparel,US,1,10.00%,
LastPass,Software,US,1,35.00%,0
MIRA Safety,Work Safety,US,1,5.00%,
Sibu,Health Care,US,1,10.00%,
Funjet,Travel,US,1,2.00%,0
Denby,Kitchen & Dining,US,1,3.00%,
SHEFIT,Underwear & Socks,US,1,4.00%,
Jenni Kayne,Clothing & Apparel,US,1,10.00%,
BURST Oral Care,Health & Beauty,US,1,5.00%,
Puracy,Supplies,US,1,8.00%,
Ekster,Handbags & Wallets,US,1,12.00%,
Stutterheim,Clothing & Apparel,US,1,5.00%,
Sandro,Clothing & Apparel,US,1,16.00%,
Charles & Keith,Accessories,US,1,10.00%,
Plaza Premium,Travel,US,1,3.20%,
E3 Foods,Health & Beauty,US,1,10.00%,
GP Filter,Kitchen & Dining,US,1,10.00%,
UENI,Web Hosting & Domains,US,1,32.00%,100
Premium Jane,CBD,US,1,25.00%,
IFCHIC,Women,US,1,4.00%,
Monica + Andy,Babies & Kids,US,1,2.00%,
VAIO,Computers & Accessories,US,1,10.00%,
Mount-It,Electronics Accessories,US,1,5.00%,
Good Vibrations,Sex Toys,US,1,20.00%,
Termly,B2B,US,1,5.00%,
Each & Every,Health & Beauty,US,1,15.00%,
Skin Beauty Solutions,Health & Beauty,US,1,10.00%,
NeuroGum,Vitamins & Supplements,US,1,4.00%,
Tea Drops,Food & Gourmet,US,1,12.00%,
United Apparels,Accessories,US,1,12.00%,
Deal Fuel,Software,US,1,10.00%,
Hero Health,Health Care,US,1,,20
Z Grills,Outdoor Living,US,1,5.60%,
Bully Beds,Animals & Pet Supplies,US,1,18.00%,
Stormdesire,Clothing & Apparel,US,1,5.00%,
XVAPE,e-Cigarettes & Vaporizers,US,1,10.00%,
STYLOGIC,Plus,US,1,,3
Konse Financial Services,Pet,US,1,10.00%,
LOCKSMITH KEYLESS,Hardware,US,1,13.00%,
Ben's Natural Health,Vitamins & Supplements,US,1,50.00%,
Lipogen Products,Vitamins & Supplements,US,1,5.00%,
Blues Hog,Food & Gourmet,US,1,5.00%,
Helloice,Jewelry,US,1,15.00%,
Jeff Wan,Accessories,US,1,10.00%,
Alteya,Health & Beauty,US,1,21.00%,
tuft and paw,Animals & Pet Supplies,US,1,30.00%,
SPRWMN,Clothing & Apparel,US,1,10.00%,
Sand Dollar Dubai,Clothing & Apparel,US,1,10.00%,
Snore Circle,Health & Beauty,US,1,15.00%,
Vankyo,Electronics Accessories,US,1,10.00%,
Laguna Herbals,Health & Beauty,US,1,25.00%,
Mure and Grand,Clothing & Apparel,US,1,10.00%,0
Woodcraft,Tools,US,1,3.00%,
Segway,Cycling,US,1,12.00%,
Koio,Shoes,US,1,2.00%,
WelleCo,Vitamins & Supplements,US,1,5.00%,
BigRigVin,Consumer Services,US,1,20.00%,
Tail Activewear,Clothing & Apparel,US,1,20.00%,
At Your Pace,Online Courses,US,1,12.00%,
Briogeo Hair,Health & Beauty,US,1,5.00%,
Dr. Jart+,Health & Beauty,US,1,4.80%,
Easyship,B2B,US,1,100.00%,0
Eveseed,,US,1,8.00%,
RSS.com,B2B,US,1,55.00%,1
Oceanista,Home Decor,US,1,7.00%,
Skillshare,Education,US,1,30.00%,
Jayson Home,Household,US,1,5.00%,
Wheeler Tools,Hunting & Shooting,US,1,8.00%,
Onnit,Diet & Fitness,US,1,8.00%,
VienneMilano,Underwear & Socks,US,1,15.00%,
Petal & Pup,Clothing & Apparel,US,1,5.00%,
Happy Tea,CBD,US,1,8.00%,
TransUnion,Financial,US,1,,63
MPB,Camera & Optics,US,1,4.80%,10
Station Casinos,Gambling,US,1,5.00%,
GoGreen Hemp,e-Cigarettes & Vaporizers,US,1,18.00%,
Stags Leap,Wine,US,1,7.00%,
GotPrint,B2B,US,1,,12
"Majestic Pet Products, Inc.",Animals & Pet Supplies,US,1,10.00%,
WJD Exclusives,Jewelry,US,1,16.00%,
Jowissa,Watches,US,1,20.00%,
Austin and Kat,Animals & Pet Supplies,US,1,3.00%,
CBD Dog Health,CBD,US,1,10.00%,
Nootkas,Shoes,US,1,5.00%,
Meat N' Bone,Food & Gourmet,US,1,4.80%,
WUBEN LIGHT,Outdoor Living,US,1,10.00%,
+PlusCBD,CBD,US,1,15.00%,
niid,Luggage & Bags,US,1,15.00%,
Joseph Joseph,Kitchen & Dining,US,1,3.00%,
Cudoo,College,US,1,20.00%,
ClassBento,Education,US,1,5.00%,
Blinc,Beauty & Cosmetics,US,1,20.00%,
Glenmuir,Clothing & Apparel,US,1,4.00%,
1thrive,Household,US,1,5.00%,
EMMIOL,Clothing & Apparel,US,1,8.00%,55.44
Bondi Sands,Health & Beauty,US,1,8.00%,
Ameliorate,Health & Beauty,US,1,12.00%,0
Babor,Health & Beauty,US,1,10.00%,0
Christophe Robin,Beauty & Cosmetics,US,1,12.00%,
Clarins,Health & Beauty,US,1,8.00%,
Prep Expert,Education,US,1,3.00%,
Hempvana,CBD,US,1,10.00%,
Routledge,Books & Magazines,US,1,10.00%,
Brick House,Vitamins & Supplements,US,1,1.00%,
Carmen Sol,Clothing & Apparel,US,1,7.20%,
Kipling,Accessories,US,1,8.00%,
Pale Blue,Consumer Electronics,US,1,7.00%,
Lungolivigno Fashion,Clothing & Apparel,US,1,16.00%,
The Beauty Chef,Health & Beauty,US,1,7.00%,
Battery Tender,Vehicles & Parts,US,1,6.00%,
CAPTUR3D,Photo Gifts,US,1,10.00%,
Mens Tuxedo,Men,US,1,9.00%,
Stately,Clothing & Apparel,US,1,,10
Spermidine Life,Personal Care,US,1,6.00%,
Day Designer,Hobbies & Creative Arts,US,1,6.72%,
Space Mask,COVID Related,US,1,20.00%,
Tomasso Black,Clothing & Apparel,US,1,8.00%,
Marie Oliver,Women,US,1,3.00%,
OUFER BODY JEWELRY,Jewelry,US,1,15.00%,
Laughland,Health & Beauty,US,1,24.00%,
"DBZ E-Venture, LLC.",Supplies,US,1,30.00%,
WPChill,Software,US,1,20.00%,
EcoKind Pet Treats,Dog Supplies,US,1,12.00%,
AndaseaT,Furniture,US,1,10.00%,
NN Hotels,Travel,US,1,9.00%,
keysworlds,Video Games,US,1,8.00%,
FORK & MELON,Health & Beauty,US,1,3.00%,
Once A Moon,Clothing & Apparel,US,1,5.00%,
Buy Wines Online,Wine,US,1,4.00%,
SERA LABS HEALTH,Health & Beauty,US,1,20.00%,
FibreHeat,Health & Beauty,US,1,10.00%,
Airo Collective,Handbags & Wallets,US,1,12.00%,
Bradford Exchange,Gifts,US,1,18.00%,90
Step2,Outdoor Play Equipment,US,1,10.00%,
InVideo,Advertising & Marketing,US,1,50.00%,0
MEL Science,Box Subscriptions,US,1,,30
Brave New Look,Clothing & Apparel,US,1,5.00%,
Equinavia,Animals & Pet Supplies,US,1,18.00%,
Mint & Lily,Jewelry,US,1,12.00%,
ApriaDirect,Health Care,US,1,6.00%,0.5
V For Vibes,Sex Toys,US,1,25.00%,
Fenix Lighting,Camping & Hiking,US,1,7.00%,
PhytoLogica CBD,CBD,US,1,20.00%,
Ampere,Consumer Electronics,US,1,10.00%,2.24
Burton Snowboards,Skiing & Snowboarding,US,1,4.00%,
Nectar Bath Treats,Health & Beauty,US,1,3.00%,
ORPHEUS Skincare,Health & Beauty,US,1,17.00%,
Fox River,Clothing & Apparel,US,1,19.00%,
Menaji,Health & Beauty,US,1,15.00%,
DIRECTV,Satellite TV & Radio,US,1,,150
BadRhino,Men,US,1,6.00%,
Spicewalla,Condiments & Sauces,US,1,8.00%,0
Snailax,Health Care,US,1,12.00%,
Chasing Paper,Home Decor,US,1,8.00%,
Thrivous,Vitamins & Supplements,US,1,30.00%,
La Ligne,Clothing & Apparel,US,1,2.00%,
NAVY Hair Care,Beauty & Cosmetics,US,1,5.00%,
Ellie,Women,US,1,8.00%,
Spotlight Oral Care,Personal Care,US,1,6.00%,
Chantecaille,Health & Beauty,US,1,8.00%,0
Marley Spoon,Food & Gourmet,US,1,36.00%,30
M.S Skincare,Beauty & Cosmetics,US,1,20.00%,
Pelican Products,Outdoor Living,US,1,10.00%,0
THINK Sun,Beauty & Cosmetics,US,1,12.00%,
Nurture&,Babies & Kids,US,1,10.00%,100
MiamiMD,Personal Care,US,1,10.00%,
SmilePath,Personal Care,US,1,5.00%,75
Favor Boots,Shoes,US,1,8.00%,
Pure Science Lab,CBD,US,1,40.00%,
behno,Handbags & Wallets,US,1,10.00%,
Annie's Pooch Pops,Animals & Pet Supplies,US,1,5.00%,
Minisforum,Computers & Accessories,US,1,2.00%,
Ruvi,Vitamins & Nutrition,US,1,16.00%,
Fleur Marché,CBD,US,1,3.00%,
Temple Sportswear Co. Inc.,Clothing & Apparel,US,1,10.00%,
dowinx,Furniture,US,1,10.00%,
Radia Smart,Clothing & Apparel,US,1,10.00%,
Arsis Jewelry,Jewelry,US,1,20.00%,
Eberjey,Clothing & Apparel,US,1,10.00%,
We-Vibe,Sex Toys,US,1,5.00%,
Maytag,Appliances,US,1,3.00%,
Brondell,Household,US,1,13.00%,
Proscenic,Smart Home Devices,US,1,8.00%,
Artkive,Arts & Crafts,US,1,,8
Smoke Honest,Tobacco,US,1,8.00%,
MIELLE,Health & Beauty,US,1,8.00%,
Horizon Fitness,Exercise & Fitness,US,1,5.00%,
Glamorise Foundations,Clothing & Apparel,US,1,13.00%,
Omorovicza,Beauty & Cosmetics,US,1,16.00%,
Recess,Beverages,US,1,20.00%,
Colibri Group,Online Courses,US,1,8.00%,
Joanie,Women,US,1,6.00%,
AAA,Auto (or Vehicle),US,1,10.00%,
Derek Lam,Women,US,1,5.00%,
Palladio Beauty,Health & Beauty,US,1,20.00%,
VIVOSUN INC,Household,US,1,8.00%,
Ocusleep,Health & Beauty,US,1,15.00%,
save trees,Green Living (Eco-Friendly),US,1,10.00%,
iProVPN,Software,US,1,60.00%,
Vivid Seats,Event Tickets,US,1,4.00%,
Jimdo,Web Hosting & Domains,US,1,,35
Stanley,Camping & Hiking,US,1,14.40%,
EquiLife,Vitamins & Supplements,US,1,15.00%,
Hail Storm Products,Vehicle Safety & Security,US,1,10.00%,
Stamps.com,Office,US,1,10.00%,20
XTERRA Fitness,Exercise & Fitness,US,1,8.00%,
GK HAIR,Beauty & Cosmetics,US,1,15.00%,
WholesaleForEveryone,Hats,US,1,12.00%,
The Knot,Greeting Cards & Stationery,US,1,4.00%,0
REBEL,Babies & Kids,US,1,8.00%,
Lighting Reimagined,Lighting,US,1,1.00%,
Alligator Warehouse,Clothing & Apparel,US,1,8.00%,
Lawnbright,Lawn & Garden,US,1,10.00%,
Luna Sundara,Household,US,1,15.00%,
Royal Box,Tobacco,US,1,20.00%,
Naples Soap Company,Health & Beauty,US,1,8.00%,
Reima,Baby & Kids,US,1,10.00%,
QEEQ,Car Rental,US,1,4.22%,
BackEmbrace,Health & Beauty,US,1,7.00%,
VahdamTeas,Food & Gourmet,US,1,15.00%,
Snow,Health & Beauty,US,1,12.00%,
Black Widow Pro,Vehicles & Parts,US,1,5.00%,
Cold Picnic,Household,US,1,10.00%,
Fangoria,Media,US,1,12.00%,
Hello Health,Vitamins & Supplements,US,1,15.00%,
SEO Buddy,B2B,US,1,,10
